_task_idx,_elapsed_sec,p_spread_bps,p_pool_price_weight,p_anchor_ema_alpha,p_num_levels,p_size_decay,p_spread_multiplier,p_order_safe_ratio,p_enable_asymmetric_spread,p_skew_sensitivity,p_min_spread_bps,p_concentration,p_min_concentration,p_max_concentration,p_natr_period,p_natr_baseline,p_natr_range_scale,p_adx_period,p_hurst_min_candles,p_hmm_n_states,p_hmm_min_candles,p_hmm_refit_interval_sec,p_hmm_window,p_hmm_confidence_threshold,p_trend_sensitivity,p_range_ema_alpha,p_range_update_dead_band_pct,p_soft_recenter_drift_pct,p_trend_order_scale_factor,p_trend_halt_threshold,p_toxicity_activation_count,p_inventory_skew_soft_limit,p_inventory_skew_hard_limit,p_outer_capital_fraction,p_outer_recenter_trigger_pct,duration_hours,candles,initial_value,final_value,total_return_pct,hold_return_pct,excess_return_pct,max_drawdown_pct,sharpe,total_fills,buy_fills,sell_fills,buy_volume,sell_volume,avg_spread_bps,avg_inv_skew,max_abs_inv_skew,recenters,range_changes,trend_halts,flair_lifetime_fee_quote,flair_lifetime_lvr_quote,flair_lifetime_net_quote,flair_fee_pct,flair_lvr_pct,flair_net_pct,return_minus_flair_net_pct
1,114.3,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,8,0.60,0.80,0.30,0.65,8760.0,525601,100000.0,145400.97241195606,45.401,18.32,27.081,47.341,0.931,13898,6913,6985,28763978.971,28671787.8629,181.2,-0.0546,0.9526,1,56351,0,32170.1433,58410.0444,-26239.9012,32.17,58.41,-26.24,71.641
2,114.4,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.010,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,8,0.60,0.80,0.30,0.65,8760.0,525601,100000.0,117613.5945548978,17.614,18.32,-0.706,50.426,0.575,12008,5728,6280,22600532.3077,22643031.4731,189.3,0.0378,0.9635,1,47879,0,26559.4016,49989.5746,-23430.1729,26.559,49.99,-23.43,41.044
0,114.0,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.003,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,8,0.60,0.80,0.30,0.65,8760.0,525601,100000.0,98528.90311896888,-1.471,18.32,-19.791,44.859,0.284,16342,8173,8169,32644105.8321,32607975.0868,168.2,0.0018,0.9229,1,73821,0,39226.9201,62148.0631,-22921.143,39.227,62.148,-22.921,21.45
3,113.4,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.020,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,8,0.60,0.80,0.30,0.65,8760.0,525601,100000.0,58852.095516146604,-41.148,18.32,-59.468,54.945,-0.614,14113,6787,7326,25655816.4634,25667140.3379,156.6,-0.0316,0.9144,7,46293,0,31404.8477,60002.9115,-28598.0638,31.405,60.003,-28.598,-12.55
