_task_idx,_elapsed_sec,p_spread_bps,p_pool_price_weight,p_anchor_ema_alpha,p_num_levels,p_size_decay,p_spread_multiplier,p_order_safe_ratio,p_enable_asymmetric_spread,p_skew_sensitivity,p_min_spread_bps,p_amplification,duration_hours,candles,initial_value,final_value,total_return_pct,hold_return_pct,excess_return_pct,max_drawdown_pct,sharpe,total_fills,buy_fills,sell_fills,buy_volume,sell_volume,avg_spread_bps,avg_inv_skew,max_abs_inv_skew,recenters,range_changes
32,14.9,100,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,8760.0,524327,30290.0,29832.986672375853,-1.509,48.881,-50.39,15.865,-0.075,1931,937,994,9928048.1733,10028048.1733,262.1,-0.0949,0.4294,0,0
28,24.5,90,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,8760.0,524327,30290.0,29667.86795904438,-2.054,48.881,-50.935,15.882,-0.125,2298,1116,1182,10602154.254,10702154.254,239.3,-0.0949,0.4224,0,0
24,23.9,80,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,8760.0,524327,30290.0,29492.956041973128,-2.631,48.881,-51.512,16.017,-0.178,2810,1370,1440,11509408.6255,11609408.6255,213.1,-0.0949,0.4126,0,0
20,18.8,70,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,8760.0,524327,30290.0,29257.471994538173,-3.409,48.881,-52.29,16.087,-0.248,3446,1684,1762,12327500.2244,12427500.2244,194.7,-0.0949,0.4109,0,0
16,18.1,60,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,8760.0,524327,30290.0,29011.287780662937,-4.222,48.881,-53.102,16.07,-0.326,4317,2117,2200,13201023.6692,13301023.6692,170.7,-0.095,0.3987,0,0
12,18.7,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,8760.0,524327,30290.0,28802.571848448264,-4.911,48.881,-53.791,15.875,-0.397,5577,2737,2840,14131840.4793,14231840.4793,146.8,-0.0949,0.3817,0,0
8,18.8,40,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,8760.0,524327,30290.0,28502.09183351155,-5.903,48.881,-54.783,15.638,-0.501,7362,3623,3739,14878342.5633,14978342.5633,127.2,-0.095,0.3435,0,0
0,18.8,20,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,8760.0,524327,30290.0,28444.53509333045,-6.093,48.881,-54.973,14.573,-0.557,15103,7469,7634,15130097.9996,15230097.9996,93.4,-0.0949,0.2665,0,0
4,18.8,30,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,8760.0,524327,30290.0,28345.18470762399,-6.421,48.881,-55.301,15.207,-0.568,10219,5041,5178,15430032.6993,15530032.6993,107.4,-0.0949,0.3035,0,0
33,14.3,100,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,5,8760.0,524327,30290.0,27886.581803520367,-7.935,48.881,-56.816,21.089,-0.514,2065,995,1070,17642643.4925,17742643.4925,218.9,-0.0949,0.5797,0,0
