_task_idx,_elapsed_sec,p_spread_bps,p_pool_price_weight,p_anchor_ema_alpha,p_num_levels,p_size_decay,p_spread_multiplier,p_order_safe_ratio,p_enable_asymmetric_spread,p_skew_sensitivity,p_min_spread_bps,p_amplification,duration_hours,candles,initial_value,final_value,total_return_pct,hold_return_pct,excess_return_pct,max_drawdown_pct,sharpe,total_fills,buy_fills,sell_fills,buy_volume,sell_volume,avg_spread_bps,avg_inv_skew,max_abs_inv_skew,recenters,range_changes
32,14.4,100,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,8760.0,524327,30290.0,-240.792883921028,-100.795,48.881,-149.676,122.714,1.237,10109,4991,5118,33279021.0188,33808398.6821,226.0,-0.3701,0.7354,0,0
28,19.2,90,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,8760.0,524327,30290.0,-1997.254474211828,-106.594,48.881,-155.475,128.402,-0.799,12503,6181,6322,36988482.5986,37516979.5335,202.2,-0.3704,0.7356,0,0
24,19.3,80,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,8760.0,524327,30290.0,-3730.202357789831,-112.315,48.881,-161.196,134.148,-1.097,15729,7785,7944,41150864.1871,41681675.5473,180.7,-0.3707,0.7341,0,0
33,14.3,100,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,5,8760.0,524327,30290.0,-4336.430272522749,-114.316,48.881,-163.197,136.424,-1.32,10093,5017,5076,56106053.0799,56635520.3092,205.6,-0.3681,0.7549,0,0
20,19.0,70,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,8760.0,524327,30290.0,-6030.588791533091,-119.91,48.881,-168.79,141.792,0.223,20108,9964,10144,45899304.481,46428989.419,160.6,-0.3711,0.7321,0,0
29,19.2,90,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,5,8760.0,524327,30290.0,-6803.651220520013,-122.462,48.881,-171.343,145.149,-0.955,12524,6229,6295,62331381.0313,62862562.506,185.0,-0.3687,0.7583,0,0
16,19.8,60,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,8760.0,524327,30290.0,-8862.811750350316,-129.26,48.881,-178.141,151.33,1.051,26195,12994,13201,50996568.936,51526841.8223,141.7,-0.3714,0.7341,0,0
25,19.0,80,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,5,8760.0,524327,30290.0,-9981.658113196287,-132.954,48.881,-181.834,155.914,0.439,15790,7858,7932,69504865.7148,70034437.7874,165.8,-0.3694,0.7566,0,0
12,19.3,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,8760.0,524327,30290.0,-12593.781190956546,-141.577,48.881,-190.458,163.341,0.332,34893,17326,17567,56545946.8538,57074305.863,123.5,-0.3718,0.7309,0,0
21,19.5,70,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,5,8760.0,524327,30290.0,-13578.328758855265,-144.828,48.881,-193.709,167.644,0.247,20361,10138,10223,78100392.3311,78632512.5146,148.7,-0.3699,0.7525,0,0
