_task_idx,_elapsed_sec,p_spread_bps,p_pool_price_weight,p_anchor_ema_alpha,p_num_levels,p_size_decay,p_spread_multiplier,p_order_safe_ratio,p_enable_asymmetric_spread,p_skew_sensitivity,p_min_spread_bps,p_amplification,duration_hours,candles,initial_value,final_value,total_return_pct,hold_return_pct,excess_return_pct,max_drawdown_pct,sharpe,total_fills,buy_fills,sell_fills,buy_volume,sell_volume,avg_spread_bps,avg_inv_skew,max_abs_inv_skew,recenters,range_changes
34,14.5,100,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,10,8736.0,523168,44767.0,102520.05303236679,129.008,262.767,-133.759,124.312,1.298,21836,10988,10848,46004952.3018,46161448.1613,217.8,-0.7268,0.9101,0,0
35,14.2,100,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,20,8736.0,523168,44767.0,99795.72465899018,122.923,262.767,-139.845,299.837,0.875,22474,11515,10959,108465596.2947,108617060.8628,214.8,-0.7134,0.9806,0,0
33,14.7,100,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,5,8736.0,523168,44767.0,96401.79615795922,115.341,262.767,-147.426,149.444,1.108,21855,10887,10968,22270463.8167,22428966.1516,223.9,-0.7322,0.8968,0,0
32,14.8,100,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,8736.0,523168,44767.0,90965.46724601978,103.198,262.767,-159.57,161.234,1.362,21969,10886,11083,13245537.2535,13405323.2363,234.0,-0.7342,0.8938,0,0
29,18.5,90,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,5,8736.0,523168,44767.0,88424.83552144091,97.522,262.767,-165.245,159.605,-0.314,26955,13432,13523,24555556.0671,24715263.3447,204.0,-0.7328,0.8976,0,0
30,18.9,90,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,10,8736.0,523168,44767.0,87913.81571584237,96.381,262.767,-166.386,140.028,-1.61,27049,13602,13447,50714895.7778,50872571.7135,198.7,-0.7281,0.9102,0,0
28,19.2,90,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,8736.0,523168,44767.0,86202.01540750645,92.557,262.767,-170.21,168.419,0.825,27135,13458,13677,14678532.4412,14838247.5078,212.9,-0.7345,0.8942,0,0
24,18.3,80,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,8736.0,523168,44767.0,79801.87165772982,78.26,262.767,-184.507,179.009,-1.046,33901,16828,17073,16190927.0009,16350747.785,192.4,-0.7347,0.895,0,0
25,18.3,80,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,5,8736.0,523168,44767.0,76205.00916125538,70.226,262.767,-192.541,179.397,0.92,33626,16762,16864,27045021.8857,27204504.113,185.3,-0.7334,0.8998,0,0
20,18.6,70,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,8736.0,523168,44767.0,72346.32127684829,61.606,262.767,-201.161,194.569,-1.001,43372,21547,21825,18014135.8047,18174535.0813,172.1,-0.7351,0.8942,0,0
26,18.5,80,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,10,8736.0,523168,44767.0,67400.27411952161,50.558,262.767,-212.209,170.772,-1.048,33902,17037,16865,55786070.4426,55943902.3938,179.3,-0.7292,0.9102,0,0
21,18.1,70,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,5,8736.0,523168,44767.0,66021.18741786966,47.477,262.767,-215.29,200.934,1.279,43199,21541,21658,30090965.8328,30251203.1989,165.8,-0.7338,0.9013,0,0
31,18.8,90,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,20,8736.0,523168,44767.0,63353.14484879556,41.518,262.767,-221.25,268.797,-1.38,27537,14074,13463,115054818.2698,115208973.9041,196.6,-0.7157,0.9622,0,0
16,19.2,60,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,8736.0,523168,44767.0,62398.37013094624,39.385,262.767,-223.382,218.202,0.899,56379,28031,28348,19896369.9054,20056571.2748,152.2,-0.7354,0.8949,0,0
12,17.6,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,8736.0,523168,44767.0,50476.78188623147,12.754,262.767,-250.013,255.885,-0.091,75979,37805,38174,22097694.4045,22257972.9295,131.9,-0.7356,0.896,0,0
17,18.2,60,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,5,8736.0,523168,44767.0,49285.89811912708,10.094,262.767,-252.673,248.664,1.153,56349,28107,28242,33338706.3401,33498775.0873,146.9,-0.7343,0.9001,0,0
22,17.9,70,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,10,8736.0,523168,44767.0,43087.287971547805,-3.752,262.767,-266.519,228.451,-1.094,43242,21716,21526,61504500.2346,61662828.6261,161.1,-0.7302,0.9101,0,0
8,19.2,40,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,8736.0,523168,44767.0,34784.37767420208,-22.299,262.767,-285.066,285.707,-0.227,105380,52471,52909,24176130.0731,24336542.0822,110.5,-0.7359,0.8961,0,0
13,17.8,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,5,8736.0,523168,44767.0,29777.821061491457,-33.483,262.767,-296.25,287.489,1.081,75947,37893,38054,36987078.9142,37147726.866,127.6,-0.7348,0.9022,0,0
27,19.2,80,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,20,8736.0,523168,44767.0,28678.85966145744,-35.937,262.767,-298.705,254.348,1.394,34547,17614,16933,124087635.6476,124242166.1973,177.7,-0.718,0.9367,0,0
4,19.1,30,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,8736.0,523168,44767.0,16322.589917020665,-63.539,262.767,-326.306,322.77,1.785,148900,74179,74721,25258629.7099,25419134.4141,91.8,-0.7362,0.8962,0,0
18,18.5,60,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,10,8736.0,523168,44767.0,12194.12550725197,-72.761,262.767,-335.528,289.109,1.215,56558,28384,28174,68017085.1166,68175900.9082,143.1,-0.7312,0.9135,0,0
9,19.2,40,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,5,8736.0,523168,44767.0,4361.788282975205,-90.257,262.767,-353.024,340.165,-1.223,105491,52647,52844,40451473.1721,40611775.3416,107.6,-0.7352,0.9018,0,0
0,18.8,20,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,8736.0,523168,44767.0,1701.635540096278,-96.199,262.767,-358.966,349.736,-0.109,203910,101583,102327,22682467.661,22842935.0464,79.6,-0.7367,0.895,0,0
23,18.2,70,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,20,8736.0,523168,44767.0,-24981.117543643737,-155.803,262.767,-418.57,261.635,-1.2,43998,22377,21621,134139900.8366,134297075.8281,159.5,-0.7203,0.9375,0,0
5,19.4,30,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,5,8736.0,523168,44767.0,-25539.883878010864,-157.051,262.767,-419.818,394.323,-0.553,149076,74407,74669,42276023.1499,42436266.9827,89.6,-0.7357,0.9022,0,0
14,18.7,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,10,8736.0,523168,44767.0,-25835.616649965326,-157.711,262.767,-420.479,375.413,-3.015,76100,38164,37936,75011382.7898,75171762.9015,124.6,-0.7322,0.9148,0,0
1,18.7,20,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,5,8736.0,523168,44767.0,-47896.651684310826,-206.991,262.767,-469.758,432.652,1.208,204416,102000,102416,37980772.321,38140967.3439,77.6,-0.7365,0.9021,0,0
10,19.2,40,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,10,8736.0,523168,44767.0,-76177.89086209516,-270.165,262.767,-532.932,474.715,2.595,105699,52970,52729,81814301.4336,81973900.7884,105.2,-0.7331,0.914,0,0
19,17.5,60,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,20,8736.0,523168,44767.0,-91650.8977186341,-304.729,262.767,-567.496,406.399,-0.495,57261,29051,28210,145482683.442,145639827.5056,141.0,-0.7224,0.9361,0,0
6,18.8,30,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,10,8736.0,523168,44767.0,-133753.38777308734,-398.777,262.767,-661.544,582.159,-3.543,149664,74941,74723,85424719.9216,85584014.1189,87.6,-0.7341,0.9151,0,0
15,18.2,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,20,8736.0,523168,44767.0,-164681.356703463,-467.863,262.767,-730.631,583.738,-2.671,76801,38866,37935,158004954.7111,158163141.641,123.0,-0.7244,0.9374,0,0
2,19.0,20,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,10,8736.0,523168,44767.0,-174302.97210528672,-489.356,262.767,-752.123,658.107,-1.042,204782,102428,102354,76367790.498,76527344.8032,76.0,-0.7358,0.9157,0,0
11,18.9,40,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,20,8736.0,523168,44767.0,-260779.47441913633,-682.526,262.767,-945.293,782.989,0.232,106529,53774,52755,170147316.7575,170305908.8828,103.9,-0.7265,0.9364,0,0
7,18.9,30,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,20,8736.0,523168,44767.0,-372251.9074237086,-931.532,262.767,-1194.299,1001.349,-5.325,150423,75733,74690,175416646.2926,175574244.7611,86.4,-0.7289,0.9347,0,0
3,19.3,20,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,20,8736.0,523168,44767.0,-435896.3216924107,-1073.7,262.767,-1336.467,1133.86,-2.287,205517,103180,102337,155205057.3463,155363997.5973,74.8,-0.7328,0.9331,0,0
