_task_idx,_elapsed_sec,p_spread_bps,p_pool_price_weight,p_anchor_ema_alpha,p_num_levels,p_size_decay,p_spread_multiplier,p_order_safe_ratio,p_enable_asymmetric_spread,p_skew_sensitivity,p_min_spread_bps,p_concentration,p_min_concentration,p_max_concentration,p_natr_period,p_natr_baseline,p_natr_range_scale,p_adx_period,p_hurst_min_candles,p_hmm_n_states,p_hmm_min_candles,p_hmm_refit_interval_sec,p_hmm_window,p_hmm_confidence_threshold,p_trend_sensitivity,p_range_ema_alpha,p_range_update_dead_band_pct,p_soft_recenter_drift_pct,p_trend_order_scale_factor,p_trend_halt_threshold,p_outer_capital_fraction,p_outer_recenter_trigger_pct,p_toxicity_activation_count,p_toxicity_buy_ratio_hard,p_toxicity_hard_spread_mult,p_toxicity_hard_size_mult,p_inventory_skew_soft_limit,p_inventory_skew_hard_limit,p_inventory_hard_size_mult,p_inventory_soft_spread_mult,duration_hours,candles,initial_value,final_value,total_return_pct,hold_return_pct,excess_return_pct,max_drawdown_pct,sharpe,total_fills,buy_fills,sell_fills,buy_volume,sell_volume,avg_spread_bps,avg_inv_skew,max_abs_inv_skew,recenters,range_changes,trend_halts,flair_lifetime_fee_quote,flair_lifetime_lvr_quote,flair_lifetime_net_quote,flair_fee_pct,flair_lvr_pct,flair_net_pct,return_minus_flair_net_pct
0,114.5,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,0.30,0.65,3,0.80,1.80,0.40,0.60,0.80,0.20,1.30,8760.0,525601,100000.0,145567.2188357837,45.567,18.32,27.247,47.545,0.933,13846,6874,6972,28660052.0186,28567662.0749,182.1,-0.0538,0.9504,1,56351,0,32013.3914,58337.9338,-26324.5424,32.013,58.338,-26.325,71.892
2,114.0,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,0.30,0.65,8,0.80,1.80,0.40,0.60,0.80,0.20,1.30,8760.0,525601,100000.0,145400.97241195606,45.401,18.32,27.081,47.341,0.931,13898,6913,6985,28763978.971,28671787.8629,181.2,-0.0546,0.9526,1,56351,0,32170.1433,58410.0444,-26239.9012,32.17,58.41,-26.24,71.641
3,114.7,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,0.30,0.65,12,0.80,1.80,0.40,0.60,0.80,0.20,1.30,8760.0,525601,100000.0,145400.97241195606,45.401,18.32,27.081,47.341,0.931,13898,6913,6985,28763978.971,28671787.8629,181.2,-0.0546,0.9526,1,56351,0,32170.1433,58410.0444,-26239.9012,32.17,58.41,-26.24,71.641
1,114.8,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,0.30,0.65,5,0.80,1.80,0.40,0.60,0.80,0.20,1.30,8760.0,525601,100000.0,145400.97241195606,45.401,18.32,27.081,47.341,0.931,13898,6913,6985,28763978.971,28671787.8629,181.2,-0.0546,0.9526,1,56351,0,32170.1433,58410.0444,-26239.9012,32.17,58.41,-26.24,71.641
4,113.9,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,0.30,0.65,30,0.80,1.80,0.40,0.60,0.80,0.20,1.30,8760.0,525601,100000.0,108369.44542090342,8.369,18.32,-9.951,47.332,0.46,12644,6048,6596,25971639.3348,25923739.0137,135.9,0.0376,0.9268,1,56351,0,32149.3598,58634.2015,-26484.8417,32.149,58.634,-26.485,34.854
