_task_idx,_elapsed_sec,p_spread_bps,p_pool_price_weight,p_anchor_ema_alpha,p_num_levels,p_size_decay,p_spread_multiplier,p_order_safe_ratio,p_enable_asymmetric_spread,p_skew_sensitivity,p_min_spread_bps,p_concentration,p_min_concentration,p_max_concentration,p_natr_period,p_natr_baseline,p_natr_range_scale,p_adx_period,p_hurst_min_candles,p_hmm_n_states,p_hmm_min_candles,p_hmm_refit_interval_sec,p_hmm_window,p_hmm_confidence_threshold,p_trend_sensitivity,p_range_ema_alpha,p_range_update_dead_band_pct,p_soft_recenter_drift_pct,p_trend_order_scale_factor,p_trend_halt_threshold,p_toxicity_activation_count,p_inventory_skew_soft_limit,p_inventory_skew_hard_limit,p_outer_capital_fraction,p_outer_recenter_trigger_pct,duration_hours,candles,initial_value,final_value,total_return_pct,hold_return_pct,excess_return_pct,max_drawdown_pct,sharpe,total_fills,buy_fills,sell_fills,buy_volume,sell_volume,avg_spread_bps,avg_inv_skew,max_abs_inv_skew,recenters,range_changes,trend_halts,flair_lifetime_fee_quote,flair_lifetime_lvr_quote,flair_lifetime_net_quote,flair_fee_pct,flair_lvr_pct,flair_net_pct,return_minus_flair_net_pct
1,113.9,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,0.5,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,8,0.60,0.80,0.30,0.65,8760.0,525601,100000.0,168431.95007683666,68.432,18.32,50.112,36.318,1.175,14919,7550,7369,31088907.5337,30969170.7042,175.5,-0.0725,0.9223,1,69806,0,35780.2626,65803.256,-30022.9934,35.78,65.803,-30.023,98.455
2,114.3,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,8,0.60,0.80,0.30,0.65,8760.0,525601,100000.0,145400.97241195606,45.401,18.32,27.081,47.341,0.931,13898,6913,6985,28763978.971,28671787.8629,181.2,-0.0546,0.9526,1,56351,0,32170.1433,58410.0444,-26239.9012,32.17,58.41,-26.24,71.641
3,114.0,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,2.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,8,0.60,0.80,0.30,0.65,8760.0,525601,100000.0,113048.13045046604,13.048,18.32,-5.272,49.757,0.516,12801,6059,6742,23775203.6255,23721707.4606,179.7,0.1133,0.9522,1,54065,0,29207.4193,54288.2856,-25080.8664,29.207,54.288,-25.081,38.129
0,115.0,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,0.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,8,0.60,0.80,0.30,0.65,8760.0,525601,100000.0,111310.26643185983,11.31,18.32,-7.01,49.055,0.48,13851,6749,7102,28961051.4056,28964008.2921,160.0,-0.148,0.6609,0,101756,0,33818.5477,59388.0659,-25569.5182,33.819,59.388,-25.57,36.88
4,114.3,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,3.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,8,0.60,0.80,0.30,0.65,8760.0,525601,100000.0,107729.73670402858,7.73,18.32,-10.59,53.206,0.442,13177,6443,6734,24422969.699,24375834.4882,175.7,0.049,0.9468,1,53373,0,29522.5919,53121.1132,-23598.5213,29.523,53.121,-23.599,31.329
