_label,_elapsed,p_pool_price_weight,p_anchor_ema_alpha,p_num_levels,p_size_decay,p_spread_multiplier,p_order_safe_ratio,p_enable_asymmetric_spread,p_skew_sensitivity,p_min_spread_bps,p_natr_period,p_natr_baseline,p_natr_range_scale,p_adx_period,p_hurst_min_candles,p_trend_sensitivity,p_range_ema_alpha,p_range_update_dead_band_pct,p_soft_recenter_drift_pct,p_trend_order_scale_factor,p_trend_halt_threshold,p_hmm_n_states,p_hmm_min_candles,p_hmm_refit_interval_sec,p_hmm_window,p_hmm_confidence_threshold,p_toxicity_window_sec,p_toxicity_window_fills,p_toxicity_activation_count,p_toxicity_buy_ratio_soft,p_toxicity_buy_ratio_hard,p_toxicity_sell_ratio_soft,p_toxicity_sell_ratio_hard,p_toxicity_soft_spread_mult,p_toxicity_hard_spread_mult,p_toxicity_soft_size_mult,p_toxicity_hard_size_mult,p_inventory_skew_soft_limit,p_inventory_skew_hard_limit,p_inventory_soft_size_mult,p_inventory_hard_size_mult,p_inventory_soft_spread_mult,p_inventory_hard_spread_mult,p_inventory_hard_disable_accumulation_side,p_enable_flair_monitor,p_flair_markout_sec,p_flair_window_sec,p_flair_fee_bps,p_spread_bps,p_concentration,p_min_concentration,p_max_concentration,duration_hours,candles,initial_value,final_value,total_return_pct,hold_return_pct,excess_return_pct,max_drawdown_pct,sharpe,total_fills,buy_fills,sell_fills,buy_volume,sell_volume,avg_spread_bps,avg_inv_skew,max_abs_inv_skew,recenters,range_changes,trend_halts,flair_lifetime_fee_quote,flair_lifetime_lvr_quote,flair_lifetime_net_quote,flair_fee_pct,flair_lvr_pct,flair_net_pct,return_minus_flair_net_pct
1_dumb_lp,78.7,0.70,0.05,1,0.85,1.5,0.5,False,0.0,20,14,0.005,0.0,14,999999,0.0,1.0,0.5,2.0,0.0,0.0,3,999999,1800,500,0.80,300,20,999999,0.65,0.80,0.65,0.80,1.00,1.00,1.00,1.00,0.99,0.999,1.00,1.00,1.00,1.00,False,True,30,1800,10,50,15,3,40,8760.0,525601,100000.0,96670.48915562272,-3.33,18.32,-21.649,55.341,0.252,20202,10016,10186,44530569.7587,44509527.4541,129.0,0.0035,1.0,43,0,0,52569.6712,94430.8703,-41861.1991,52.57,94.431,-41.861,38.531
2_plus_inv,78.7,0.70,0.05,1,0.85,1.5,0.5,False,0.0,20,14,0.005,0.0,14,999999,0.0,1.0,0.5,2.0,0.0,0.0,3,999999,1800,500,0.80,300,20,999999,0.65,0.80,0.65,0.80,1.00,1.00,1.00,1.00,0.60,0.80,0.60,0.20,1.30,1.80,True,True,30,1800,10,50,15,3,40,8760.0,525601,100000.0,94074.60858644194,-5.925,18.32,-24.245,52.26,0.154,16077,7424,8653,33763417.2137,33733763.0742,134.8,-0.1313,1.0,43,0,0,42191.2971,81826.5657,-39635.2686,42.191,81.827,-39.635,33.71
3_plus_tox,79.9,0.70,0.05,1,0.85,1.5,0.5,False,0.0,20,14,0.005,0.0,14,999999,0.0,1.0,0.5,2.0,0.0,0.0,3,999999,1800,500,0.80,300,20,8,0.65,0.80,0.65,0.80,1.30,1.80,0.70,0.40,0.99,0.999,1.00,1.00,1.00,1.00,False,True,30,1800,10,50,15,3,40,8760.0,525601,100000.0,100679.47206786783,0.679,18.32,-17.641,53.808,0.317,18891,9281,9610,38760982.1204,38741130.2631,153.3,0.0023,0.9618,43,0,0,45891.9769,82250.4141,-36358.4372,45.892,82.25,-36.358,37.037
4_plus_asym,81.7,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,14,0.005,0.0,14,999999,0.0,1.0,0.5,2.0,0.0,0.0,3,999999,1800,500,0.80,300,20,999999,0.65,0.80,0.65,0.80,1.00,1.00,1.00,1.00,0.99,0.999,1.00,1.00,1.00,1.00,False,True,30,1800,10,50,15,3,40,8760.0,525601,100000.0,96123.30728442186,-3.877,18.32,-22.197,55.765,0.243,20098,10024,10074,44304637.4643,44284542.9613,127.5,0.0029,0.987,43,0,0,52334.7008,94115.8701,-41781.1693,52.335,94.116,-41.781,37.904
5_plus_dyn,113.5,0.70,0.05,1,0.85,1.5,0.5,False,0.0,20,14,0.005,1.0,14,100,0.5,0.1,0.5,2.0,0.0,0.0,3,999999,1800,500,0.80,300,20,999999,0.65,0.80,0.65,0.80,1.00,1.00,1.00,1.00,0.99,0.999,1.00,1.00,1.00,1.00,False,True,30,1800,10,50,15,3,40,8760.0,525601,100000.0,108277.30283420053,8.277,18.32,-10.043,46.725,0.445,20029,9906,10123,45843265.9762,45795475.8603,130.3,-0.0207,0.979,1,56351,0,54658.3714,85177.1482,-30518.7768,54.658,85.177,-30.519,38.796
6_all_on,115.1,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,14,0.005,1.0,14,100,0.5,0.1,0.5,2.0,0.0,0.0,3,999999,1800,500,0.80,300,20,8,0.65,0.80,0.65,0.80,1.30,1.80,0.70,0.40,0.60,0.80,0.60,0.20,1.30,1.80,True,True,30,1800,10,50,15,3,40,8760.0,525601,100000.0,145400.97241195606,45.401,18.32,27.081,47.341,0.931,13898,6913,6985,28763978.971,28671787.8629,181.2,-0.0546,0.9526,1,56351,0,32170.1433,58410.0444,-26239.9012,32.17,58.41,-26.24,71.641
