_task_idx,_elapsed_sec,p_spread_bps,p_pool_price_weight,p_anchor_ema_alpha,p_num_levels,p_size_decay,p_spread_multiplier,p_order_safe_ratio,p_enable_asymmetric_spread,p_skew_sensitivity,p_min_spread_bps,p_concentration,p_min_concentration,p_max_concentration,p_natr_period,p_natr_baseline,p_natr_range_scale,p_adx_period,p_hurst_min_candles,p_hmm_n_states,p_hmm_min_candles,p_hmm_refit_interval_sec,p_hmm_window,p_hmm_confidence_threshold,p_trend_sensitivity,p_range_ema_alpha,p_range_update_dead_band_pct,p_soft_recenter_drift_pct,p_trend_order_scale_factor,p_trend_halt_threshold,p_outer_capital_fraction,p_outer_recenter_trigger_pct,p_toxicity_activation_count,p_inventory_skew_soft_limit,p_inventory_skew_hard_limit,duration_hours,candles,initial_value,final_value,total_return_pct,hold_return_pct,excess_return_pct,max_drawdown_pct,sharpe,total_fills,buy_fills,sell_fills,buy_volume,sell_volume,avg_spread_bps,avg_inv_skew,max_abs_inv_skew,recenters,range_changes,trend_halts,flair_lifetime_fee_quote,flair_lifetime_lvr_quote,flair_lifetime_net_quote,flair_fee_pct,flair_lvr_pct,flair_net_pct,return_minus_flair_net_pct
3,1152.4,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,1.0,0.1,0.5,2.0,0.5,0.5,0.30,0.65,8,0.60,0.80,744.0,44512,100000.0,54564.900146428765,-45.435,-18.574,-26.861,59.33,-4.933,1399,701,698,37154509.8995,37846438.7553,291.3,-0.0821,0.8446,0,13694,24445,2374.4165,17197.8745,-14823.4581,2.374,17.198,-14.823,-30.612
4,1152.4,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,1.5,0.1,0.5,2.0,0.5,0.5,0.30,0.65,8,0.60,0.80,744.0,44512,100000.0,54214.07184479939,-45.786,-18.574,-27.212,59.08,-4.974,1338,679,659,37877933.5013,38434098.574,284.7,-0.0819,0.7762,0,19086,24445,2416.4419,17480.6747,-15064.2328,2.416,17.481,-15.064,-30.722
2,1152.3,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.5,0.5,0.30,0.65,8,0.60,0.80,744.0,44512,100000.0,53367.25189185104,-46.633,-18.574,-28.059,59.133,-4.875,1298,674,624,35311560.3269,35878343.2296,268.2,-0.0734,0.836,0,7283,24445,2281.1003,15448.9619,-13167.8616,2.281,15.449,-13.168,-33.465
1,1152.4,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.3,0.1,0.5,2.0,0.5,0.5,0.30,0.65,8,0.60,0.80,744.0,44512,100000.0,50363.851496387804,-49.636,-18.574,-31.062,59.129,-5.22,1015,579,436,21827170.0567,22863654.3021,315.2,-0.3018,0.9146,0,4369,24445,1498.4582,11657.2249,-10158.7667,1.498,11.657,-10.159,-39.477
0,1152.4,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.0,0.1,0.5,2.0,0.5,0.5,0.30,0.65,8,0.60,0.80,744.0,44512,100000.0,48427.97994648693,-51.572,-18.574,-32.998,59.671,-5.615,1387,773,614,33562120.0928,33206763.7564,245.2,0.0864,0.9614,15,1053,24445,2154.9931,18231.7477,-16076.7546,2.155,18.232,-16.077,-35.495
