_label,_elapsed,p_spread_bps,p_pool_price_weight,p_anchor_ema_alpha,p_order_safe_ratio,p_enable_asymmetric_spread,p_skew_sensitivity,p_min_spread_bps,p_outer_capital_fraction,p_outer_spread_mult,p_outer_range_mult,p_outer_recenter_trigger_pct,p_concentration,p_min_concentration,p_max_concentration,p_natr_period,p_natr_baseline,p_natr_range_scale,p_adx_period,p_hurst_min_candles,p_hmm_n_states,p_hmm_min_candles,p_hmm_refit_interval_sec,p_hmm_window,p_hmm_confidence_threshold,p_hmm_use_fill_asymmetry,p_trend_sensitivity,p_range_ema_alpha,p_range_update_dead_band_pct,p_trend_order_scale_factor,p_trend_halt_threshold,p_toxicity_window_sec,p_toxicity_window_fills,p_toxicity_activation_count,p_toxicity_buy_ratio_soft,p_toxicity_buy_ratio_hard,p_toxicity_sell_ratio_soft,p_toxicity_sell_ratio_hard,p_toxicity_soft_spread_mult,p_toxicity_hard_spread_mult,p_toxicity_soft_size_mult,p_toxicity_hard_size_mult,p_inventory_skew_soft_limit,p_inventory_skew_hard_limit,p_inventory_soft_size_mult,p_inventory_hard_size_mult,p_inventory_soft_spread_mult,p_inventory_hard_spread_mult,p_inventory_hard_disable_accumulation_side,p_enable_flair_monitor,p_flair_markout_sec,p_flair_window_sec,p_flair_fee_bps,p_enable_hedge,p_hedge_size_cap_pct,p_hedge_taker_fee_bps,p_hedge_funding_rate_per_hr,duration_hours,candles,initial_value,final_value,total_return_pct,hold_return_pct,excess_return_pct,max_drawdown_pct,sharpe,total_fills,buy_fills,sell_fills,buy_volume,sell_volume,avg_spread_bps,avg_inv_skew,max_abs_inv_skew,recenters,range_changes,trend_halts
outer_trigger=0.65 outer_frac=0.40,757.6,130,0.70,0.05,0.5,True,0.5,20,0.40,2.5,2.5,0.65,30,3,20,14,0.005,1.0,14,999999,3,999999,1800,500,0.80,False,0.5,0.1,0.5,0.0,0.0,300,20,8,0.65,0.80,0.65,0.80,1.30,1.80,0.70,0.40,0.60,0.80,0.60,0.20,1.30,1.80,True,True,30,1800,10,False,0.30,5,0.0001,1392.0,83520,162500.0,132371.95219135625,-18.54,-28.0,9.46,35.354,-1.545,1435,687,748,3126724.3759,3147403.1449,186.3,0.1524,0.7171,0,7347,0
outer_trigger=0.35 outer_frac=0.40,768.4,130,0.70,0.05,0.5,True,0.5,20,0.40,2.5,2.5,0.35,30,3,20,14,0.005,1.0,14,999999,3,999999,1800,500,0.80,False,0.5,0.1,0.5,0.0,0.0,300,20,8,0.65,0.80,0.65,0.80,1.30,1.80,0.70,0.40,0.60,0.80,0.60,0.20,1.30,1.80,True,True,30,1800,10,False,0.30,5,0.0001,1392.0,83520,162500.0,132371.95219135625,-18.54,-28.0,9.46,35.354,-1.545,1435,687,748,3126724.3759,3147403.1449,186.3,0.1524,0.7171,0,7347,0
outer_trigger=0.50 outer_frac=0.40,778.0,130,0.70,0.05,0.5,True,0.5,20,0.40,2.5,2.5,0.50,30,3,20,14,0.005,1.0,14,999999,3,999999,1800,500,0.80,False,0.5,0.1,0.5,0.0,0.0,300,20,8,0.65,0.80,0.65,0.80,1.30,1.80,0.70,0.40,0.60,0.80,0.60,0.20,1.30,1.80,True,True,30,1800,10,False,0.30,5,0.0001,1392.0,83520,162500.0,132371.95219135625,-18.54,-28.0,9.46,35.354,-1.545,1435,687,748,3126724.3759,3147403.1449,186.3,0.1524,0.7171,0,7347,0
outer_trigger=0.65 outer_frac=0.30,761.0,130,0.70,0.05,0.5,True,0.5,20,0.30,2.5,2.5,0.65,30,3,20,14,0.005,1.0,14,999999,3,999999,1800,500,0.80,False,0.5,0.1,0.5,0.0,0.0,300,20,8,0.65,0.80,0.65,0.80,1.30,1.80,0.70,0.40,0.60,0.80,0.60,0.20,1.30,1.80,True,True,30,1800,10,False,0.30,5,0.0001,1392.0,83520,162500.0,130791.7081651543,-19.513,-28.0,8.487,36.139,-1.655,1396,671,725,3560373.573,3582216.5271,158.8,0.149,0.7127,0,7347,0
outer_trigger=0.35 outer_frac=0.30,768.5,130,0.70,0.05,0.5,True,0.5,20,0.30,2.5,2.5,0.35,30,3,20,14,0.005,1.0,14,999999,3,999999,1800,500,0.80,False,0.5,0.1,0.5,0.0,0.0,300,20,8,0.65,0.80,0.65,0.80,1.30,1.80,0.70,0.40,0.60,0.80,0.60,0.20,1.30,1.80,True,True,30,1800,10,False,0.30,5,0.0001,1392.0,83520,162500.0,130791.7081651543,-19.513,-28.0,8.487,36.139,-1.655,1396,671,725,3560373.573,3582216.5271,158.8,0.149,0.7127,0,7347,0
outer_trigger=0.50 outer_frac=0.30,770.1,130,0.70,0.05,0.5,True,0.5,20,0.30,2.5,2.5,0.50,30,3,20,14,0.005,1.0,14,999999,3,999999,1800,500,0.80,False,0.5,0.1,0.5,0.0,0.0,300,20,8,0.65,0.80,0.65,0.80,1.30,1.80,0.70,0.40,0.60,0.80,0.60,0.20,1.30,1.80,True,True,30,1800,10,False,0.30,5,0.0001,1392.0,83520,162500.0,130791.7081651543,-19.513,-28.0,8.487,36.139,-1.655,1396,671,725,3560373.573,3582216.5271,158.8,0.149,0.7127,0,7347,0
outer_trigger=0.35 outer_frac=0.20,763.5,130,0.70,0.05,0.5,True,0.5,20,0.20,2.5,2.5,0.35,30,3,20,14,0.005,1.0,14,999999,3,999999,1800,500,0.80,False,0.5,0.1,0.5,0.0,0.0,300,20,8,0.65,0.80,0.65,0.80,1.30,1.80,0.70,0.40,0.60,0.80,0.60,0.20,1.30,1.80,True,True,30,1800,10,False,0.30,5,0.0001,1392.0,83520,162500.0,130455.82126564649,-19.719,-28.0,8.281,36.068,-1.68,1420,682,738,4147033.1576,4166836.6955,143.1,0.1455,0.7366,0,7347,0
outer_trigger=0.50 outer_frac=0.20,765.6,130,0.70,0.05,0.5,True,0.5,20,0.20,2.5,2.5,0.50,30,3,20,14,0.005,1.0,14,999999,3,999999,1800,500,0.80,False,0.5,0.1,0.5,0.0,0.0,300,20,8,0.65,0.80,0.65,0.80,1.30,1.80,0.70,0.40,0.60,0.80,0.60,0.20,1.30,1.80,True,True,30,1800,10,False,0.30,5,0.0001,1392.0,83520,162500.0,130455.82126564649,-19.719,-28.0,8.281,36.068,-1.68,1420,682,738,4147033.1576,4166836.6955,143.1,0.1455,0.7366,0,7347,0
outer_trigger=0.65 outer_frac=0.20,766.0,130,0.70,0.05,0.5,True,0.5,20,0.20,2.5,2.5,0.65,30,3,20,14,0.005,1.0,14,999999,3,999999,1800,500,0.80,False,0.5,0.1,0.5,0.0,0.0,300,20,8,0.65,0.80,0.65,0.80,1.30,1.80,0.70,0.40,0.60,0.80,0.60,0.20,1.30,1.80,True,True,30,1800,10,False,0.30,5,0.0001,1392.0,83520,162500.0,130455.82126564649,-19.719,-28.0,8.281,36.068,-1.68,1420,682,738,4147033.1576,4166836.6955,143.1,0.1455,0.7366,0,7347,0
