_label,_elapsed,p_spread_bps,p_pool_price_weight,p_anchor_ema_alpha,p_order_safe_ratio,p_enable_asymmetric_spread,p_skew_sensitivity,p_min_spread_bps,p_outer_capital_fraction,p_outer_spread_mult,p_outer_range_mult,p_outer_recenter_trigger_pct,p_concentration,p_min_concentration,p_max_concentration,p_natr_period,p_natr_baseline,p_natr_range_scale,p_adx_period,p_hurst_min_candles,p_hmm_n_states,p_hmm_min_candles,p_hmm_refit_interval_sec,p_hmm_window,p_hmm_confidence_threshold,p_hmm_use_fill_asymmetry,p_trend_sensitivity,p_range_ema_alpha,p_range_update_dead_band_pct,p_trend_order_scale_factor,p_trend_halt_threshold,p_toxicity_window_sec,p_toxicity_window_fills,p_toxicity_activation_count,p_toxicity_buy_ratio_soft,p_toxicity_buy_ratio_hard,p_toxicity_sell_ratio_soft,p_toxicity_sell_ratio_hard,p_toxicity_soft_spread_mult,p_toxicity_hard_spread_mult,p_toxicity_soft_size_mult,p_toxicity_hard_size_mult,p_inventory_skew_soft_limit,p_inventory_skew_hard_limit,p_inventory_soft_size_mult,p_inventory_hard_size_mult,p_inventory_soft_spread_mult,p_inventory_hard_spread_mult,p_inventory_hard_disable_accumulation_side,p_enable_flair_monitor,p_flair_markout_sec,p_flair_window_sec,p_flair_fee_bps,p_enable_hedge,p_hedge_size_cap_pct,p_hedge_taker_fee_bps,p_hedge_funding_rate_per_hr,duration_hours,candles,initial_value,final_value,total_return_pct,hold_return_pct,excess_return_pct,max_drawdown_pct,sharpe,total_fills,buy_fills,sell_fills,buy_volume,sell_volume,avg_spread_bps,avg_inv_skew,max_abs_inv_skew,recenters,range_changes,trend_halts
cfg3,2.2,130,0.70,0.05,0.5,True,0.5,20,0.40,2.5,2.5,0.65,30,3,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,False,0.5,0.1,0.5,0.0,0.0,300,10,8,0.60,0.80,0.60,0.80,1.30,1.80,0.70,0.40,0.60,0.80,0.60,0.20,1.30,1.80,True,True,30,1800,10,False,0.30,5,0.0001,56.0,3361,48110.0,76879.21262209398,59.799,80.15,-20.351,32.216,-12.019,185,90,95,338559.2604,352437.918,-55.1,0.0553,0.3193,4,522,0
cfg2,2.2,130,0.70,0.05,0.5,True,0.5,20,0.40,2.5,2.5,0.65,30,3,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,False,0.5,0.1,0.5,0.0,0.0,300,20,8,0.65,0.80,0.65,0.80,1.30,1.80,0.70,0.40,0.60,0.80,0.60,0.20,1.30,1.80,True,True,30,1800,10,False,0.30,5,0.0001,56.0,3361,48110.0,76471.77269469728,58.952,80.15,-21.198,32.445,-12.561,217,106,111,436953.0871,450133.604,-57.5,0.0443,0.4257,4,522,0
cfg5,2.2,130,0.70,0.05,0.5,True,0.5,20,0.40,2.5,2.5,0.65,30,3,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,False,0.5,0.1,0.5,0.0,0.0,300,40,8,0.60,0.80,0.60,0.80,1.30,1.80,0.70,0.40,0.60,0.80,0.60,0.20,1.30,1.80,True,True,30,1800,10,False,0.30,5,0.0001,56.0,3361,48110.0,76297.29007246524,58.589,80.15,-21.56,32.639,-12.879,225,109,116,461601.4929,476140.1439,-53.2,0.0433,0.4706,4,522,0
cfg1,2.3,130,0.70,0.05,0.5,True,0.5,20,0.40,2.5,2.5,0.65,30,3,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,False,0.5,0.1,0.5,0.0,0.0,300,40,8,0.65,0.80,0.65,0.80,1.30,1.80,0.70,0.40,0.60,0.80,0.60,0.20,1.30,1.80,True,True,30,1800,10,False,0.30,5,0.0001,56.0,3361,48110.0,76193.0348279654,58.373,80.15,-21.777,32.718,-12.957,230,114,116,481723.7726,494868.9576,-63.5,0.0365,0.4652,4,522,0
cfg4,2.2,130,0.70,0.05,0.5,True,0.5,20,0.40,2.5,2.5,0.65,30,3,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,False,0.5,0.1,0.5,0.0,0.0,300,40,8,0.70,0.80,0.70,0.80,1.30,1.80,0.70,0.40,0.60,0.80,0.60,0.20,1.30,1.80,True,True,30,1800,10,False,0.30,5,0.0001,56.0,3361,48110.0,76142.69634181965,58.268,80.15,-21.882,32.786,-13.007,221,109,112,459721.4916,474901.538,-87.8,0.0548,0.4658,4,522,0
