_label,_elapsed,p_spread_bps,p_pool_price_weight,p_anchor_ema_alpha,p_order_safe_ratio,p_enable_asymmetric_spread,p_skew_sensitivity,p_min_spread_bps,p_outer_capital_fraction,p_outer_spread_mult,p_outer_range_mult,p_outer_recenter_trigger_pct,p_concentration,p_min_concentration,p_max_concentration,p_natr_period,p_natr_baseline,p_natr_range_scale,p_adx_period,p_hurst_min_candles,p_hmm_n_states,p_hmm_min_candles,p_hmm_refit_interval_sec,p_hmm_window,p_hmm_confidence_threshold,p_hmm_use_fill_asymmetry,p_trend_sensitivity,p_range_ema_alpha,p_range_update_dead_band_pct,p_trend_order_scale_factor,p_trend_halt_threshold,p_toxicity_window_sec,p_toxicity_window_fills,p_toxicity_activation_count,p_toxicity_buy_ratio_soft,p_toxicity_buy_ratio_hard,p_toxicity_sell_ratio_soft,p_toxicity_sell_ratio_hard,p_toxicity_soft_spread_mult,p_toxicity_hard_spread_mult,p_toxicity_soft_size_mult,p_toxicity_hard_size_mult,p_inventory_skew_soft_limit,p_inventory_skew_hard_limit,p_inventory_soft_size_mult,p_inventory_hard_size_mult,p_inventory_soft_spread_mult,p_inventory_hard_spread_mult,p_inventory_hard_disable_accumulation_side,p_enable_flair_monitor,p_flair_markout_sec,p_flair_window_sec,p_flair_fee_bps,p_enable_hedge,p_hedge_size_cap_pct,p_hedge_taker_fee_bps,p_hedge_funding_rate_per_hr,duration_hours,candles,initial_value,final_value,total_return_pct,hold_return_pct,excess_return_pct,max_drawdown_pct,sharpe,total_fills,buy_fills,sell_fills,buy_volume,sell_volume,avg_spread_bps,avg_inv_skew,max_abs_inv_skew,recenters,range_changes,trend_halts
sprd=100 conc=12,861.4,100,0.70,0.05,0.5,True,0.5,20,0.30,2.5,2.5,0.50,12,3,20,14,0.005,1.0,14,999999,3,999999,1800,500,0.80,False,0.5,0.1,0.5,0.0,0.0,300,20,8,0.65,0.80,0.65,0.80,1.30,1.80,0.70,0.40,0.60,0.80,0.60,0.20,1.30,1.80,True,True,30,1800,10,False,0.30,5,0.0001,1392.0,83520,162500.0,110223.98219110619,-32.17,-28.0,-4.17,45.097,-2.949,2901,1724,1177,12433248.4937,12469436.8202,102.1,0.0987,0.6317,0,5943,0
sprd=100 conc=8,841.4,100,0.70,0.05,0.5,True,0.5,20,0.30,2.5,2.5,0.50,8,3,20,14,0.005,1.0,14,999999,3,999999,1800,500,0.80,False,0.5,0.1,0.5,0.0,0.0,300,20,8,0.65,0.80,0.65,0.80,1.30,1.80,0.70,0.40,0.60,0.80,0.60,0.20,1.30,1.80,True,True,30,1800,10,False,0.30,5,0.0001,1392.0,83520,162500.0,121156.34050531485,-25.442,-28.0,2.558,35.064,-3.04,2387,1223,1164,14630406.9711,14728699.0891,144.0,0.0481,0.8634,1,3494,0
sprd=70 conc=20,833.0,70,0.70,0.05,0.5,True,0.5,20,0.30,2.5,2.5,0.50,20,3,20,14,0.005,1.0,14,999999,3,999999,1800,500,0.80,False,0.5,0.1,0.5,0.0,0.0,300,20,8,0.65,0.80,0.65,0.80,1.30,1.80,0.70,0.40,0.60,0.80,0.60,0.20,1.30,1.80,True,True,30,1800,10,False,0.30,5,0.0001,1392.0,83520,162500.0,107356.48416958535,-33.934,-28.0,-5.934,46.859,-3.096,6635,3344,3291,14010597.2064,14034924.0608,76.7,0.1183,0.5201,0,9710,0
sprd=70 conc=5,828.6,70,0.70,0.05,0.5,True,0.5,20,0.30,2.5,2.5,0.50,5,3,20,14,0.005,1.0,14,999999,3,999999,1800,500,0.80,False,0.5,0.1,0.5,0.0,0.0,300,20,8,0.65,0.80,0.65,0.80,1.30,1.80,0.70,0.40,0.60,0.80,0.60,0.20,1.30,1.80,True,True,30,1800,10,False,0.30,5,0.0001,1392.0,83520,162500.0,103292.17935483585,-36.436,-28.0,-8.436,44.825,-3.4,2935,1544,1391,13449288.5096,13547697.0444,172.1,-0.0648,1.0,67,1365,0
sprd=30 conc=30,859.8,30,0.70,0.05,0.5,True,0.5,20,0.30,2.5,2.5,0.50,30,3,20,14,0.005,1.0,14,999999,3,999999,1800,500,0.80,False,0.5,0.1,0.5,0.0,0.0,300,20,8,0.65,0.80,0.65,0.80,1.30,1.80,0.70,0.40,0.60,0.80,0.60,0.20,1.30,1.80,True,True,30,1800,10,False,0.30,5,0.0001,1392.0,83520,162500.0,100782.56184114581,-37.98,-28.0,-9.98,49.022,-3.573,21742,10585,11157,11410384.2248,11431379.2008,65.4,0.1437,0.5452,0,7347,0
sprd=55 conc=5,857.2,55,0.70,0.05,0.5,True,0.5,20,0.30,2.5,2.5,0.50,5,3,20,14,0.005,1.0,14,999999,3,999999,1800,500,0.80,False,0.5,0.1,0.5,0.0,0.0,300,20,8,0.65,0.80,0.65,0.80,1.30,1.80,0.70,0.40,0.60,0.80,0.60,0.20,1.30,1.80,True,True,30,1800,10,False,0.30,5,0.0001,1392.0,83520,162500.0,99201.88655379908,-38.953,-28.0,-10.953,46.342,-3.667,3941,2111,1830,14280885.2513,14380769.5483,137.7,-0.1483,1.0,67,1365,0
sprd=55 conc=20,854.4,55,0.70,0.05,0.5,True,0.5,20,0.30,2.5,2.5,0.50,20,3,20,14,0.005,1.0,14,999999,3,999999,1800,500,0.80,False,0.5,0.1,0.5,0.0,0.0,300,20,8,0.65,0.80,0.65,0.80,1.30,1.80,0.70,0.40,0.60,0.80,0.60,0.20,1.30,1.80,True,True,30,1800,10,False,0.30,5,0.0001,1392.0,83520,162500.0,97924.97748990961,-39.738,-28.0,-11.738,50.791,-3.674,9890,5022,4868,16002450.2126,16024917.0657,68.4,0.1192,0.4729,0,9710,0
sprd=70 conc=12,831.4,70,0.70,0.05,0.5,True,0.5,20,0.30,2.5,2.5,0.50,12,3,20,14,0.005,1.0,14,999999,3,999999,1800,500,0.80,False,0.5,0.1,0.5,0.0,0.0,300,20,8,0.65,0.80,0.65,0.80,1.30,1.80,0.70,0.40,0.60,0.80,0.60,0.20,1.30,1.80,True,True,30,1800,10,False,0.30,5,0.0001,1392.0,83520,162500.0,97267.61827388869,-40.143,-28.0,-12.143,50.403,-3.779,5102,2788,2314,16919165.2143,16954730.1771,87.3,0.1001,0.614,0,5943,0
sprd=70 conc=8,832.6,70,0.70,0.05,0.5,True,0.5,20,0.30,2.5,2.5,0.50,8,3,20,14,0.005,1.0,14,999999,3,999999,1800,500,0.80,False,0.5,0.1,0.5,0.0,0.0,300,20,8,0.65,0.80,0.65,0.80,1.30,1.80,0.70,0.40,0.60,0.80,0.60,0.20,1.30,1.80,True,True,30,1800,10,False,0.30,5,0.0001,1392.0,83520,162500.0,106357.82611962692,-34.549,-28.0,-6.549,41.185,-4.227,4543,2258,2285,21349916.791,21435977.9922,117.3,0.0429,0.8982,1,3494,0
sprd=55 conc=12,853.9,55,0.70,0.05,0.5,True,0.5,20,0.30,2.5,2.5,0.50,12,3,20,14,0.005,1.0,14,999999,3,999999,1800,500,0.80,False,0.5,0.1,0.5,0.0,0.0,300,20,8,0.65,0.80,0.65,0.80,1.30,1.80,0.70,0.40,0.60,0.80,0.60,0.20,1.30,1.80,True,True,30,1800,10,False,0.30,5,0.0001,1392.0,83520,162500.0,86769.28612438121,-46.604,-28.0,-18.604,54.86,-4.477,7452,4039,3413,19319507.651,19350175.3769,79.9,0.0996,0.5932,0,5943,0
sprd=30 conc=20,860.1,30,0.70,0.05,0.5,True,0.5,20,0.30,2.5,2.5,0.50,20,3,20,14,0.005,1.0,14,999999,3,999999,1800,500,0.80,False,0.5,0.1,0.5,0.0,0.0,300,20,8,0.65,0.80,0.65,0.80,1.30,1.80,0.70,0.40,0.60,0.80,0.60,0.20,1.30,1.80,True,True,30,1800,10,False,0.30,5,0.0001,1392.0,83520,162500.0,75129.57329515625,-53.766,-28.0,-25.766,60.94,-5.1,22825,11944,10881,17481361.4376,17507224.1954,50.6,0.1182,0.383,0,9710,0
sprd=55 conc=8,861.9,55,0.70,0.05,0.5,True,0.5,20,0.30,2.5,2.5,0.50,8,3,20,14,0.005,1.0,14,999999,3,999999,1800,500,0.80,False,0.5,0.1,0.5,0.0,0.0,300,20,8,0.65,0.80,0.65,0.80,1.30,1.80,0.70,0.40,0.60,0.80,0.60,0.20,1.30,1.80,True,True,30,1800,10,False,0.30,5,0.0001,1392.0,83520,162500.0,96240.51134024798,-40.775,-28.0,-12.775,44.744,-5.257,6854,3046,3808,23124116.8806,23224109.2347,106.6,0.0622,0.8612,1,3494,0
sprd=30 conc=5,852.7,30,0.70,0.05,0.5,True,0.5,20,0.30,2.5,2.5,0.50,5,3,20,14,0.005,1.0,14,999999,3,999999,1800,500,0.80,False,0.5,0.1,0.5,0.0,0.0,300,20,8,0.65,0.80,0.65,0.80,1.30,1.80,0.70,0.40,0.60,0.80,0.60,0.20,1.30,1.80,True,True,30,1800,10,False,0.30,5,0.0001,1392.0,83520,162500.0,80194.60039450391,-50.649,-28.0,-22.649,53.585,-5.49,8089,4256,3833,20574979.4383,20674979.4383,83.5,-0.1697,1.0,67,1365,0
sprd=30 conc=12,869.2,30,0.70,0.05,0.5,True,0.5,20,0.30,2.5,2.5,0.50,12,3,20,14,0.005,1.0,14,999999,3,999999,1800,500,0.80,False,0.5,0.1,0.5,0.0,0.0,300,20,8,0.65,0.80,0.65,0.80,1.30,1.80,0.70,0.40,0.60,0.80,0.60,0.20,1.30,1.80,True,True,30,1800,10,False,0.30,5,0.0001,1392.0,83520,162500.0,64975.80833327708,-60.015,-28.0,-32.015,66.003,-5.909,16617,9464,7153,20190522.985,20222134.0215,52.9,0.0851,0.4706,0,5943,0
sprd=30 conc=8,856.0,30,0.70,0.05,0.5,True,0.5,20,0.30,2.5,2.5,0.50,8,3,20,14,0.005,1.0,14,999999,3,999999,1800,500,0.80,False,0.5,0.1,0.5,0.0,0.0,300,20,8,0.65,0.80,0.65,0.80,1.30,1.80,0.70,0.40,0.60,0.80,0.60,0.20,1.30,1.80,True,True,30,1800,10,False,0.30,5,0.0001,1392.0,83520,162500.0,51390.276403150354,-68.375,-28.0,-40.375,69.447,-9.947,16261,8199,8062,33390420.5603,33478775.4174,65.6,0.0403,0.7035,1,3494,0
