_label,_elapsed,p_spread_bps,p_pool_price_weight,p_anchor_ema_alpha,p_order_safe_ratio,p_enable_asymmetric_spread,p_skew_sensitivity,p_min_spread_bps,p_outer_capital_fraction,p_outer_spread_mult,p_outer_range_mult,p_outer_recenter_trigger_pct,p_concentration,p_min_concentration,p_max_concentration,p_natr_period,p_natr_baseline,p_natr_range_scale,p_adx_period,p_hurst_min_candles,p_hmm_n_states,p_hmm_min_candles,p_hmm_refit_interval_sec,p_hmm_window,p_hmm_confidence_threshold,p_hmm_use_fill_asymmetry,p_trend_sensitivity,p_range_ema_alpha,p_range_update_dead_band_pct,p_trend_order_scale_factor,p_trend_halt_threshold,p_toxicity_window_sec,p_toxicity_window_fills,p_toxicity_activation_count,p_toxicity_buy_ratio_soft,p_toxicity_buy_ratio_hard,p_toxicity_sell_ratio_soft,p_toxicity_sell_ratio_hard,p_toxicity_soft_spread_mult,p_toxicity_hard_spread_mult,p_toxicity_soft_size_mult,p_toxicity_hard_size_mult,p_inventory_skew_soft_limit,p_inventory_skew_hard_limit,p_inventory_soft_size_mult,p_inventory_hard_size_mult,p_inventory_soft_spread_mult,p_inventory_hard_spread_mult,p_inventory_hard_disable_accumulation_side,p_enable_flair_monitor,p_flair_markout_sec,p_flair_window_sec,p_flair_fee_bps,p_enable_hedge,p_hedge_size_cap_pct,p_hedge_taker_fee_bps,p_hedge_funding_rate_per_hr,duration_hours,candles,initial_value,final_value,total_return_pct,hold_return_pct,excess_return_pct,max_drawdown_pct,sharpe,total_fills,buy_fills,sell_fills,buy_volume,sell_volume,avg_spread_bps,avg_inv_skew,max_abs_inv_skew,recenters,range_changes,trend_halts
wfills=40 soft=0.65,1300.8,130,0.70,0.05,0.5,True,0.5,20,0.40,2.5,2.5,0.65,30,3,20,14,0.005,1.0,14,999999,3,999999,1800,500,0.80,False,0.5,0.1,0.5,0.0,0.0,300,40,8,0.65,0.80,0.65,0.80,1.30,1.80,0.70,0.40,0.60,0.80,0.60,0.20,1.30,1.80,True,True,30,1800,10,False,0.30,5,0.0001,1392.0,83520,162500.0,132534.5325749121,-18.44,-28.0,9.56,35.151,-1.537,1489,722,767,3333007.1767,3353674.553,168.7,0.1518,0.7517,0,7347,0
wfills=20 soft=0.65,1294.2,130,0.70,0.05,0.5,True,0.5,20,0.40,2.5,2.5,0.65,30,3,20,14,0.005,1.0,14,999999,3,999999,1800,500,0.80,False,0.5,0.1,0.5,0.0,0.0,300,20,8,0.65,0.80,0.65,0.80,1.30,1.80,0.70,0.40,0.60,0.80,0.60,0.20,1.30,1.80,True,True,30,1800,10,False,0.30,5,0.0001,1392.0,83520,162500.0,132371.95219135625,-18.54,-28.0,9.46,35.354,-1.545,1435,687,748,3126724.3759,3147403.1449,186.3,0.1524,0.7171,0,7347,0
wfills=10 soft=0.60,1300.2,130,0.70,0.05,0.5,True,0.5,20,0.40,2.5,2.5,0.65,30,3,20,14,0.005,1.0,14,999999,3,999999,1800,500,0.80,False,0.5,0.1,0.5,0.0,0.0,300,10,8,0.60,0.80,0.60,0.80,1.30,1.80,0.70,0.40,0.60,0.80,0.60,0.20,1.30,1.80,True,True,30,1800,10,False,0.30,5,0.0001,1392.0,83520,162500.0,132002.04295577423,-18.768,-28.0,9.232,35.336,-1.574,1261,608,653,2563568.3246,2584596.2552,201.9,0.1528,0.6794,0,7347,0
wfills=40 soft=0.70,1304.8,130,0.70,0.05,0.5,True,0.5,20,0.40,2.5,2.5,0.65,30,3,20,14,0.005,1.0,14,999999,3,999999,1800,500,0.80,False,0.5,0.1,0.5,0.0,0.0,300,40,8,0.70,0.80,0.70,0.80,1.30,1.80,0.70,0.40,0.60,0.80,0.60,0.20,1.30,1.80,True,True,30,1800,10,False,0.30,5,0.0001,1392.0,83520,162500.0,131958.48629441863,-18.795,-28.0,9.205,35.426,-1.58,1468,716,752,3301987.7734,3320332.7689,175.8,0.1518,0.7516,0,7347,0
wfills=40 soft=0.60,1302.2,130,0.70,0.05,0.5,True,0.5,20,0.40,2.5,2.5,0.65,30,3,20,14,0.005,1.0,14,999999,3,999999,1800,500,0.80,False,0.5,0.1,0.5,0.0,0.0,300,40,8,0.60,0.80,0.60,0.80,1.30,1.80,0.70,0.40,0.60,0.80,0.60,0.20,1.30,1.80,True,True,30,1800,10,False,0.30,5,0.0001,1392.0,83520,162500.0,131923.56330609886,-18.816,-28.0,9.184,35.537,-1.583,1488,719,769,3306556.3111,3327724.0894,171.3,0.153,0.7265,0,7347,0
wfills=20 soft=0.60,1295.3,130,0.70,0.05,0.5,True,0.5,20,0.40,2.5,2.5,0.65,30,3,20,14,0.005,1.0,14,999999,3,999999,1800,500,0.80,False,0.5,0.1,0.5,0.0,0.0,300,20,8,0.60,0.80,0.60,0.80,1.30,1.80,0.70,0.40,0.60,0.80,0.60,0.20,1.30,1.80,True,True,30,1800,10,False,0.30,5,0.0001,1392.0,83520,162500.0,131510.99609304345,-19.07,-28.0,8.93,35.41,-1.605,1396,678,718,3037580.0372,3058251.1086,181.2,0.1537,0.7142,0,7347,0
wfills=10 soft=0.65,1289.3,130,0.70,0.05,0.5,True,0.5,20,0.40,2.5,2.5,0.65,30,3,20,14,0.005,1.0,14,999999,3,999999,1800,500,0.80,False,0.5,0.1,0.5,0.0,0.0,300,10,8,0.65,0.80,0.65,0.80,1.30,1.80,0.70,0.40,0.60,0.80,0.60,0.20,1.30,1.80,True,True,30,1800,10,False,0.30,5,0.0001,1392.0,83520,162500.0,131430.53888266368,-19.12,-28.0,8.88,35.459,-1.615,1402,675,727,2995421.2525,3014034.9519,186.2,0.152,0.6861,0,7347,0
wfills=10 soft=0.70,1302.6,130,0.70,0.05,0.5,True,0.5,20,0.40,2.5,2.5,0.65,30,3,20,14,0.005,1.0,14,999999,3,999999,1800,500,0.80,False,0.5,0.1,0.5,0.0,0.0,300,10,8,0.70,0.80,0.70,0.80,1.30,1.80,0.70,0.40,0.60,0.80,0.60,0.20,1.30,1.80,True,True,30,1800,10,False,0.30,5,0.0001,1392.0,83520,162500.0,131430.53888266368,-19.12,-28.0,8.88,35.459,-1.615,1402,675,727,2995421.2525,3014034.9519,186.2,0.152,0.6861,0,7347,0
wfills=20 soft=0.70,1298.5,130,0.70,0.05,0.5,True,0.5,20,0.40,2.5,2.5,0.65,30,3,20,14,0.005,1.0,14,999999,3,999999,1800,500,0.80,False,0.5,0.1,0.5,0.0,0.0,300,20,8,0.70,0.80,0.70,0.80,1.30,1.80,0.70,0.40,0.60,0.80,0.60,0.20,1.30,1.80,True,True,30,1800,10,False,0.30,5,0.0001,1392.0,83520,162500.0,131371.99844827753,-19.156,-28.0,8.844,35.787,-1.618,1436,688,748,3156322.1278,3174921.9186,178.6,0.1485,0.7242,0,7347,0
