_task_idx,_elapsed_sec,p_spread_bps,p_pool_price_weight,p_anchor_ema_alpha,p_num_levels,p_size_decay,p_spread_multiplier,p_order_safe_ratio,p_enable_asymmetric_spread,p_skew_sensitivity,p_min_spread_bps,p_concentration,p_min_concentration,p_max_concentration,p_natr_period,p_natr_baseline,p_natr_range_scale,p_adx_period,p_hurst_min_candles,p_hmm_n_states,p_hmm_min_candles,p_hmm_refit_interval_sec,p_hmm_window,p_hmm_confidence_threshold,p_trend_sensitivity,p_range_ema_alpha,p_range_update_dead_band_pct,p_soft_recenter_drift_pct,p_trend_order_scale_factor,p_trend_halt_threshold,duration_hours,candles,initial_value,final_value,total_return_pct,hold_return_pct,excess_return_pct,max_drawdown_pct,sharpe,total_fills,buy_fills,sell_fills,buy_volume,sell_volume,avg_spread_bps,avg_inv_skew,max_abs_inv_skew,recenters,range_changes,trend_halts,flair_lifetime_fee_quote,flair_lifetime_lvr_quote,flair_lifetime_net_quote,flair_fee_pct,flair_lvr_pct,flair_net_pct,return_minus_flair_net_pct
18,101.0,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,6515.0,390900,100000.0,89795.87350377892,-10.204,-33.941,23.737,56.884,0.17,12782,6390,6392,16091326.6185,15969651.3071,186.1,0.1795,0.9823,1,39583,0,20618.6057,33974.7086,-13356.1029,20.619,33.975,-13.356,3.152
37,100.7,90,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,10,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,6515.0,390900,100000.0,82147.8500485137,-17.852,-33.941,16.089,67.035,0.053,4985,2804,2181,13739353.8878,13587495.4102,318.9,0.0477,0.9779,0,24947,0,18073.0226,32816.3423,-14743.3197,18.073,32.816,-14.743,-3.109
28,102.0,70,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,6515.0,390900,100000.0,80889.86406129845,-19.11,-33.941,14.831,55.936,0.003,7355,3729,3626,12935952.4311,12802258.6869,235.1,0.1444,0.9691,1,39583,0,16186.9754,27825.5989,-11638.6235,16.187,27.826,-11.639,-7.471
33,101.1,80,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,6515.0,390900,100000.0,75677.32553182119,-24.323,-33.941,9.618,55.297,-0.144,5451,2730,2721,9997386.6724,9877680.8825,286.9,0.19,0.9749,1,39583,0,12871.0179,22063.0157,-9191.9978,12.871,22.063,-9.192,-15.131
38,100.4,90,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,6515.0,390900,100000.0,75512.80181434304,-24.487,-33.941,9.454,55.341,-0.149,4682,2377,2305,9351500.0706,9214887.5678,323.4,0.1687,0.9691,1,39583,0,11931.8305,20709.9008,-8778.0702,11.932,20.71,-8.778,-15.709
32,100.1,80,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,10,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,6515.0,390900,100000.0,75326.39167307783,-24.674,-33.941,9.267,67.513,-0.124,6084,3431,2653,15052046.1561,14942150.8925,267.7,-0.0303,0.9727,0,24947,0,19836.1944,34066.4721,-14230.2778,19.836,34.066,-14.23,-10.444
43,84.8,100,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,6515.0,390900,100000.0,71235.10546311413,-28.765,-33.941,5.176,61.217,-0.287,3836,1886,1950,8523801.8243,8483803.9398,356.8,-0.0078,0.9519,1,39583,0,11053.6614,19521.8619,-8468.2005,11.054,19.522,-8.468,-20.297
13,101.5,40,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,6515.0,390900,100000.0,70023.87800775527,-29.976,-33.941,3.965,61.806,-0.312,19728,10016,9712,20726671.4251,20678063.7087,139.5,0.0686,0.9491,1,39583,0,25971.2402,42651.1253,-16679.8851,25.971,42.651,-16.68,-13.296
42,85.1,100,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,10,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,6515.0,390900,100000.0,69521.95413580179,-30.478,-33.941,3.463,58.96,-0.261,4243,2347,1896,11864733.7101,11754419.3527,358.5,0.0538,0.9652,0,24947,0,16382.8772,26550.2761,-10167.3989,16.383,26.55,-10.167,-20.311
17,101.3,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,10,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,6515.0,390900,100000.0,68343.0611875164,-31.657,-33.941,2.284,62.689,-0.282,12509,6583,5926,21135731.9809,21015594.0659,172.8,0.03,0.9578,0,24947,0,29550.9026,46202.3793,-16651.4767,29.551,46.202,-16.651,-15.006
