_task_idx,_elapsed_sec,p_spread_bps,p_pool_price_weight,p_anchor_ema_alpha,p_num_levels,p_size_decay,p_spread_multiplier,p_order_safe_ratio,p_enable_asymmetric_spread,p_skew_sensitivity,p_min_spread_bps,p_concentration,p_min_concentration,p_max_concentration,p_natr_period,p_natr_baseline,p_natr_range_scale,p_adx_period,p_hurst_min_candles,p_hmm_n_states,p_hmm_min_candles,p_hmm_refit_interval_sec,p_hmm_window,p_hmm_confidence_threshold,p_trend_sensitivity,p_range_ema_alpha,p_range_update_dead_band_pct,p_soft_recenter_drift_pct,p_trend_order_scale_factor,p_trend_halt_threshold,duration_hours,candles,initial_value,final_value,total_return_pct,hold_return_pct,excess_return_pct,max_drawdown_pct,sharpe,total_fills,buy_fills,sell_fills,buy_volume,sell_volume,avg_spread_bps,avg_inv_skew,max_abs_inv_skew,recenters,range_changes,trend_halts
44,43.0,100,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,20,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,6515.0,390900,100000.0,69987.90517411203,-30.012,-33.941,3.929,41.479,-1.566,6892,3130,3762,20731728.0787,20768628.4477,59.4,0.1102,0.5933,89,51362,0
39,46.1,90,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,20,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,6515.0,390900,100000.0,66385.21635965449,-33.615,-33.941,0.326,43.892,-1.832,8049,3645,4404,21641347.4112,21678247.7802,55.2,0.1093,0.5309,89,51362,0
34,46.5,80,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,20,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,6515.0,390900,100000.0,63235.082706644505,-36.765,-33.941,-2.824,46.446,-2.104,9430,4295,5135,22617824.0045,22654724.3735,52.2,0.1041,0.5091,89,51362,0
43,42.9,100,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,6515.0,390900,100000.0,63047.08129037414,-36.953,-33.941,-3.012,37.957,-2.098,8101,3772,4329,36462286.0659,36498483.7063,58.1,0.0901,0.6322,55,39583,0
42,42.8,100,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,10,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,6515.0,390900,100000.0,59572.31377577478,-40.428,-33.941,-6.487,42.564,-1.274,6714,3131,3583,45714642.1347,45718393.0318,64.1,0.0729,0.8461,39,24947,0
38,46.2,90,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,6515.0,390900,100000.0,59013.57147870039,-40.986,-33.941,-7.045,41.806,-2.392,9503,4432,5071,38327374.0406,38364085.7337,55.6,0.0903,0.6215,55,39583,0
33,46.4,80,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,6515.0,390900,100000.0,55089.10357507495,-44.911,-33.941,-10.97,45.704,-2.756,11595,5417,6178,41568940.9049,41605686.0476,54.1,0.0879,0.6108,55,39583,0
29,47.7,70,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,20,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,6515.0,390900,100000.0,53318.40293811147,-46.682,-33.941,-12.741,52.492,-2.903,13039,5990,7049,27439756.4585,27476656.8275,45.5,0.0952,0.4977,89,51362,0
37,46.4,90,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,10,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,6515.0,390900,100000.0,51937.65469369509,-48.062,-33.941,-14.121,49.191,-1.677,8061,3755,4306,49268296.5521,49276504.337,60.6,0.0712,0.7929,39,24947,0
24,47.2,60,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,20,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,6515.0,390900,100000.0,50673.9847026639,-49.326,-33.941,-15.385,54.768,-3.203,15631,7229,8402,28314773.4967,28351673.8657,43.1,0.094,0.4954,89,51362,0
32,46.1,80,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,10,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,6515.0,390900,100000.0,48412.26211785422,-51.588,-33.941,-17.647,52.684,-1.848,9827,4586,5241,53286362.5131,53291873.0209,55.5,0.0686,0.7721,39,24947,0
28,46.9,70,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,6515.0,390900,100000.0,46047.965544829865,-53.952,-33.941,-20.011,54.629,-3.476,14586,6840,7746,45820390.9994,45857175.949,50.7,0.084,0.6,55,39583,0
19,47.2,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,20,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,6515.0,390900,100000.0,41634.90155053622,-58.365,-33.941,-24.424,60.752,-4.071,21168,9906,11262,32188259.9734,32225160.3424,38.0,0.0857,0.5071,89,51362,0
23,46.9,60,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,6515.0,390900,100000.0,35147.54632402522,-64.852,-33.941,-30.911,65.297,-4.663,18583,8740,9843,50148594.252,50185410.0623,44.8,0.0792,0.5893,55,39583,0
41,42.4,100,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,5,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,6515.0,390900,100000.0,34003.86782486504,-65.996,-33.941,-32.055,77.726,-1.549,3334,1653,1681,42777007.4923,42735773.9738,86.9,-0.008,0.9193,681,2498,0
40,42.6,100,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,6515.0,390900,100000.0,33630.039516915516,-66.37,-33.941,-32.429,77.765,-1.596,2530,1248,1282,50391647.7579,50351273.2193,72.0,-0.0002,1.0,879,538,0
14,47.3,40,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,20,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,6515.0,390900,100000.0,30137.942861806197,-69.862,-33.941,-35.921,70.421,-5.521,29102,13753,15349,35543289.5942,35580189.9632,33.0,0.0819,0.4809,89,51362,0
36,45.9,90,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,5,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,6515.0,390900,100000.0,28360.323568326683,-71.64,-33.941,-37.699,78.883,-1.882,3830,1885,1945,43995474.3412,43967208.5253,79.5,-0.0083,0.859,681,2498,0
31,47.0,80,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,5,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,6515.0,390900,100000.0,25968.705819465606,-74.031,-33.941,-40.09,80.67,-2.038,4698,2329,2369,48027147.155,48004376.7842,74.0,-0.0099,0.9232,681,2498,0
26,47.0,70,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,5,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,6515.0,390900,100000.0,22397.66261219865,-77.602,-33.941,-43.661,82.125,-2.312,5813,2861,2952,53057415.3507,53042850.5021,66.0,-0.0096,0.8601,681,2498,0
30,46.6,80,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,6515.0,390900,100000.0,22017.482850705892,-77.983,-33.941,-44.042,80.625,-2.389,3491,1713,1778,54989650.5819,54975959.3082,58.2,0.0029,1.0,879,538,0
35,45.8,90,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,6515.0,390900,100000.0,21794.043458180575,-78.206,-33.941,-44.265,80.86,-2.391,2701,1373,1328,47926299.9219,47913122.066,51.8,0.0025,1.0,879,538,0
22,47.2,60,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,10,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,6515.0,390900,100000.0,21666.809143054707,-78.333,-33.941,-44.392,78.777,-3.774,15661,7356,8305,63933729.7173,63941056.4168,44.7,0.0631,0.7811,39,24947,0
18,47.2,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,6515.0,390900,100000.0,21254.468806323,-78.746,-33.941,-44.805,78.783,-6.524,24193,11434,12759,54460984.0897,54497718.2504,40.7,0.0758,0.5785,55,39583,0
25,46.5,70,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,6515.0,390900,100000.0,17745.20059696178,-82.255,-33.941,-48.314,83.494,-2.801,4108,2051,2057,57408150.6495,57404276.2012,48.1,0.0017,1.0,879,538,0
20,46.1,60,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,6515.0,390900,100000.0,14388.013405211626,-85.612,-33.941,-51.671,86.147,-3.22,5189,2580,2609,62558361.9129,62562201.5894,41.6,0.0012,0.9921,879,538,0
21,46.3,60,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,5,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,6515.0,390900,100000.0,14312.935661267256,-85.687,-33.941,-51.746,87.132,-3.119,7017,3440,3577,53038534.352,53042546.5418,56.7,-0.0093,0.8663,681,2498,0
27,47.1,70,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,10,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,6515.0,390900,100000.0,11268.21910956044,-88.732,-33.941,-54.791,89.056,-4.491,12890,6227,6663,59161200.1418,59172208.4632,46.6,0.0356,0.7482,39,24947,0
15,46.8,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,6515.0,390900,100000.0,11216.28848726632,-88.784,-33.941,-54.843,89.48,-3.68,6427,3212,3215,63383888.1448,63395015.7921,35.8,0.0006,1.0,879,538,0
16,46.5,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,5,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,6515.0,390900,100000.0,11000.313602402368,-89.0,-33.941,-55.059,89.744,-3.627,9317,4563,4754,58771293.079,58782916.9923,50.1,-0.0087,0.8278,681,2498,0
9,46.8,30,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,20,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,6515.0,390900,100000.0,6949.000043027571,-93.051,-33.941,-59.11,93.416,-10.431,42887,20525,22362,39311997.0136,39348897.3826,24.0,0.0775,0.5199,89,51362,0
10,46.3,40,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,6515.0,390900,100000.0,6652.9977828350275,-93.347,-33.941,-59.406,93.68,-4.65,8054,4012,4042,60287576.7247,60309189.8744,28.7,0.0,1.0,879,538,0
11,46.3,40,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,5,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,6515.0,390900,100000.0,5721.935893643711,-94.278,-33.941,-60.337,94.609,-4.776,11350,5543,5807,55744011.9923,55767764.5306,40.1,-0.0084,0.798,681,2498,0
13,46.7,40,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,6515.0,390900,100000.0,4873.202214536774,-95.127,-33.941,-61.186,95.14,-10.569,31750,15141,16609,56838163.5667,56874930.1096,31.9,0.0723,0.5678,55,39583,0
5,44.3,30,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,6515.0,390900,100000.0,3498.3620759107903,-96.502,-33.941,-62.561,96.647,-5.857,10474,5191,5283,56232855.8461,56261717.6993,21.4,-0.0003,1.0,879,538,0
6,44.6,30,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,5,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,6515.0,390900,100000.0,2987.691238184011,-97.012,-33.941,-63.071,97.158,-5.967,14929,7340,7589,53847190.3221,53877225.5918,31.5,-0.0087,0.7699,681,2498,0
17,47.0,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,10,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,6515.0,390900,100000.0,1756.1065217196021,-98.244,-33.941,-64.303,98.264,-8.03,18156,8904,9252,56222964.5346,56255829.7324,33.4,0.029,0.7463,39,24947,0
0,44.5,20,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,6515.0,390900,100000.0,1242.20110708825,-98.758,-33.941,-64.817,98.801,-7.802,14281,7006,7275,48570496.9118,48604542.9584,15.2,-0.0009,0.5821,879,538,0
1,44.5,20,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,5,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,6515.0,390900,100000.0,1045.522342172183,-98.954,-33.941,-65.014,99.002,-7.885,20793,10191,10602,47145634.5133,47180132.4872,24.9,-0.0076,0.7236,681,2498,0
12,46.1,40,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,10,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,6515.0,390900,100000.0,701.9709748660041,-99.298,-33.941,-65.357,99.31,-9.539,21473,10558,10915,49766224.5967,49801511.9809,26.3,0.0238,0.703,39,24947,0
8,46.8,30,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,6515.0,390900,100000.0,638.4246528001011,-99.362,-33.941,-65.421,99.364,-13.084,34836,16855,17981,43101768.2492,43137201.6498,21.6,0.0579,0.557,55,39583,0
4,45.1,20,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,20,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,6515.0,390900,100000.0,324.43320778016806,-99.676,-33.941,-65.735,99.695,-17.181,51524,25160,26364,29110980.2962,29147880.6652,13.1,0.071,0.5097,89,51362,0
7,45.0,30,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,10,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,6515.0,390900,100000.0,167.75378430837006,-99.832,-33.941,-65.891,99.836,-12.574,25818,12675,13143,40574775.599,40611290.5043,18.4,0.0276,0.6368,39,24947,0
3,44.8,20,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,6515.0,390900,100000.0,160.69541245264807,-99.839,-33.941,-65.898,99.84,-14.202,37483,18170,19313,27684854.6686,27721385.7926,11.3,0.0388,0.5569,55,39583,0
2,44.9,20,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,10,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,6515.0,390900,100000.0,26.82956934264806,-99.973,-33.941,-66.032,99.973,-16.461,31955,15591,16364,31227448.1676,31264286.8878,10.3,0.0339,0.6333,39,24947,0
