_task_idx,_elapsed_sec,p_spread_bps,p_pool_price_weight,p_anchor_ema_alpha,p_num_levels,p_size_decay,p_spread_multiplier,p_order_safe_ratio,p_enable_asymmetric_spread,p_skew_sensitivity,p_min_spread_bps,p_concentration,p_min_concentration,p_max_concentration,p_natr_period,p_natr_baseline,p_natr_range_scale,p_adx_period,p_hurst_min_candles,p_hmm_n_states,p_hmm_min_candles,p_hmm_refit_interval_sec,p_hmm_window,p_hmm_confidence_threshold,p_trend_sensitivity,p_range_ema_alpha,p_range_update_dead_band_pct,p_soft_recenter_drift_pct,p_trend_order_scale_factor,p_trend_halt_threshold,p_outer_capital_fraction,p_outer_recenter_trigger_pct,p_toxicity_activation_count,p_inventory_skew_soft_limit,p_inventory_skew_hard_limit,duration_hours,candles,initial_value,final_value,total_return_pct,hold_return_pct,excess_return_pct,max_drawdown_pct,sharpe,total_fills,buy_fills,sell_fills,buy_volume,sell_volume,avg_spread_bps,avg_inv_skew,max_abs_inv_skew,recenters,range_changes,trend_halts,flair_lifetime_fee_quote,flair_lifetime_lvr_quote,flair_lifetime_net_quote,flair_fee_pct,flair_lvr_pct,flair_net_pct,return_minus_flair_net_pct
0,7903.7,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,0.30,0.65,8,0.60,0.80,1464.0,87840,100000.0,72035.57960046342,-27.964,-22.002,-5.963,51.016,-1.165,6043,3207,2836,11425182.7487,11355952.8705,159.7,-0.042,0.8733,0,12330,0,12181.3116,22761.8029,-10580.4913,12.181,22.762,-10.58,-17.384
1,6997.7,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.3,0.0,0.30,0.65,8,0.60,0.80,1464.0,87840,100000.0,64606.53398701237,-35.393,-22.002,-13.392,51.069,-1.568,6928,3905,3023,9434987.0756,9352628.7007,182.7,-0.0283,0.8854,0,12330,0,10248.3894,19793.3943,-9545.0049,10.248,19.793,-9.545,-25.848
2,6997.5,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.6,0.0,0.30,0.65,8,0.60,0.80,1464.0,87840,100000.0,63873.969358141825,-36.126,-22.002,-14.124,51.156,-1.627,8381,4565,3816,7208851.0219,7128140.7114,220.9,0.028,0.877,0,12330,20,7822.8474,18217.778,-10394.9306,7.823,18.218,-10.395,-25.731
3,6996.5,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,1.0,0.0,0.30,0.65,8,0.60,0.80,1464.0,87840,100000.0,61776.022725493145,-38.224,-22.002,-16.222,51.3,-1.799,8375,4447,3928,4598753.47,4522762.9494,274.8,0.2009,0.8731,0,12330,19604,5033.2114,16382.3439,-11349.1325,5.033,16.382,-11.349,-26.875
14,5812.0,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.6,0.7,0.30,0.65,8,0.60,0.80,1464.0,87840,100000.0,60638.37408805927,-39.362,-22.002,-17.36,52.233,-1.867,4685,2575,2110,5825569.6733,5752138.5423,213.3,0.121,0.8666,0,12330,39930,6363.6909,18486.2394,-12122.5485,6.364,18.486,-12.123,-27.239
15,5812.3,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,1.0,0.7,0.30,0.65,8,0.60,0.80,1464.0,87840,100000.0,60407.36237527258,-39.593,-22.002,-17.591,52.155,-1.883,5395,2921,2474,4676060.7901,4603149.3705,244.2,0.1338,0.8732,0,12330,39930,5111.0602,17364.5449,-12253.4846,5.111,17.365,-12.253,-27.34
11,5635.2,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,1.0,0.5,0.30,0.65,8,0.60,0.80,1464.0,87840,100000.0,59355.97533004913,-40.644,-22.002,-18.642,52.382,-2.001,3933,2072,1861,4080143.1049,4009597.0104,288.8,0.2099,0.8758,0,12330,57246,4462.135,17568.6087,-13106.4737,4.462,17.569,-13.106,-27.538
13,5677.9,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.3,0.7,0.30,0.65,8,0.60,0.80,1464.0,87840,100000.0,58385.039347839906,-41.615,-22.002,-19.613,54.059,-1.986,4153,2346,1807,6264105.4147,6195743.6532,192.7,0.1498,0.867,0,12330,39930,6822.2069,17710.8389,-10888.6319,6.822,17.711,-10.889,-30.726
12,5677.7,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.7,0.30,0.65,8,0.60,0.80,1464.0,87840,100000.0,58196.661082518876,-41.803,-22.002,-19.802,54.27,-1.996,3950,2266,1684,6980070.6244,6912132.661,178.4,0.1482,0.8661,0,12330,39930,7606.4761,19182.0328,-11575.5567,7.606,19.182,-11.576,-30.227
10,5635.1,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.6,0.5,0.30,0.65,8,0.60,0.80,1464.0,87840,100000.0,58043.6264862518,-41.956,-22.002,-19.955,53.678,-2.054,3513,1905,1608,4539442.8401,4471849.1615,247.4,0.201,0.8682,0,12330,57246,4948.9836,17536.2347,-12587.251,4.949,17.536,-12.587,-29.369
