_task_idx,_elapsed_sec,p_spread_bps,p_pool_price_weight,p_anchor_ema_alpha,p_num_levels,p_size_decay,p_spread_multiplier,p_order_safe_ratio,p_enable_asymmetric_spread,p_skew_sensitivity,p_min_spread_bps,p_concentration,p_min_concentration,p_max_concentration,p_natr_period,p_natr_baseline,p_natr_range_scale,p_adx_period,p_hurst_min_candles,p_hmm_n_states,p_hmm_min_candles,p_hmm_refit_interval_sec,p_hmm_window,p_hmm_confidence_threshold,p_trend_sensitivity,p_range_ema_alpha,p_range_update_dead_band_pct,p_soft_recenter_drift_pct,p_trend_order_scale_factor,p_trend_halt_threshold,p_outer_capital_fraction,p_outer_recenter_trigger_pct,p_toxicity_activation_count,p_inventory_skew_soft_limit,p_inventory_skew_hard_limit,duration_hours,candles,initial_value,final_value,total_return_pct,hold_return_pct,excess_return_pct,max_drawdown_pct,sharpe,total_fills,buy_fills,sell_fills,buy_volume,sell_volume,avg_spread_bps,avg_inv_skew,max_abs_inv_skew,recenters,range_changes,trend_halts,flair_lifetime_fee_quote,flair_lifetime_lvr_quote,flair_lifetime_net_quote,flair_fee_pct,flair_lvr_pct,flair_net_pct,return_minus_flair_net_pct
1,47.6,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.3,0.0,0.30,0.65,8,0.60,0.80,2136.0,127557,100000.0,155112.4883997434,55.112,146.854,-91.742,32.737,2.192,8189,3866,4323,12000385.7522,12145891.0922,176.7,-0.0203,0.8548,0,25923,0,24412.7097,64612.4437,-40199.734,24.413,64.612,-40.2,95.312
2,47.9,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.6,0.0,0.30,0.65,8,0.60,0.80,2136.0,127557,100000.0,153861.75636039273,53.862,146.854,-92.992,31.243,2.156,9556,4300,5256,9536164.6741,9681670.0141,203.4,-0.0076,0.853,0,25923,18,20077.4301,56821.6391,-36744.209,20.077,56.822,-36.744,90.606
0,47.3,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,0.30,0.65,8,0.60,0.80,2136.0,127557,100000.0,153208.23180740522,53.208,146.854,-93.646,35.821,2.148,7092,3378,3714,13632724.7152,13778230.0552,161.6,-0.0468,0.8968,0,25923,0,27423.6478,68543.0818,-41119.434,27.424,68.543,-41.119,94.327
3,46.4,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,1.0,0.0,0.30,0.65,8,0.60,0.80,2136.0,127557,100000.0,129264.92068335619,29.265,146.854,-117.589,30.919,1.503,11654,5438,6216,6923597.493,7069102.833,232.7,0.0395,0.8318,0,25923,26796,14898.0574,50955.5781,-36057.5207,14.898,50.956,-36.058,65.323
12,44.3,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.7,0.30,0.65,8,0.60,0.80,2136.0,127557,100000.0,127588.11780366483,27.588,146.854,-119.266,32.071,1.451,6392,3196,3196,10738675.3706,10884180.7106,172.8,0.042,0.8177,0,25923,56014,22840.106,63673.8087,-40833.7027,22.84,63.674,-40.834,68.422
15,44.0,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,1.0,0.7,0.30,0.65,8,0.60,0.80,2136.0,127557,100000.0,127537.18448464766,27.537,146.854,-119.317,27.463,1.471,8787,4181,4606,7620346.7496,7765852.0896,233.2,0.0492,0.7993,0,25923,56014,16340.8202,58008.3614,-41667.5412,16.341,58.008,-41.668,69.205
8,44.2,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.5,0.30,0.65,8,0.60,0.80,2136.0,127557,100000.0,119573.99934194736,19.574,146.854,-127.28,29.386,1.214,5277,2652,2625,9015583.5763,9161088.9163,205.4,0.0385,0.757,0,25923,79912,19371.9669,65502.499,-46130.5321,19.372,65.502,-46.131,65.705
9,44.5,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.3,0.5,0.30,0.65,8,0.60,0.80,2136.0,127557,100000.0,119181.2112005744,19.181,146.854,-127.673,29.469,1.201,5407,2714,2693,8253028.2875,8398533.6275,217.8,0.0487,0.7572,0,25923,79912,17729.2636,63035.8014,-45306.5378,17.729,63.036,-45.307,64.488
10,44.3,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.6,0.5,0.30,0.65,8,0.60,0.80,2136.0,127557,100000.0,118827.17471059502,18.827,146.854,-128.027,29.679,1.189,5604,2803,2801,7468756.0994,7614261.4394,229.4,0.047,0.7568,0,25923,79912,16089.3624,60213.2767,-44123.9143,16.089,60.213,-44.124,62.951
11,44.7,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,1.0,0.5,0.30,0.65,8,0.60,0.80,2136.0,127557,100000.0,117120.31257501146,17.12,146.854,-129.734,30.171,1.131,5883,2934,2949,6383893.2279,6529398.5679,244.2,0.0315,0.731,0,25923,79912,13725.043,57102.7508,-43377.7078,13.725,57.103,-43.378,60.498
