_task_idx,_elapsed_sec,p_spread_bps,p_pool_price_weight,p_anchor_ema_alpha,p_num_levels,p_size_decay,p_spread_multiplier,p_order_safe_ratio,p_enable_asymmetric_spread,p_skew_sensitivity,p_min_spread_bps,p_concentration,p_min_concentration,p_max_concentration,p_natr_period,p_natr_baseline,p_natr_range_scale,p_adx_period,p_hurst_min_candles,p_hmm_n_states,p_hmm_min_candles,p_hmm_refit_interval_sec,p_hmm_window,p_hmm_confidence_threshold,p_trend_sensitivity,p_range_ema_alpha,p_range_update_dead_band_pct,p_soft_recenter_drift_pct,p_trend_order_scale_factor,p_trend_halt_threshold,duration_hours,candles,initial_value,final_value,total_return_pct,hold_return_pct,excess_return_pct,max_drawdown_pct,sharpe,total_fills,buy_fills,sell_fills,buy_volume,sell_volume,avg_spread_bps,avg_inv_skew,max_abs_inv_skew,recenters,range_changes,trend_halts,flair_lifetime_fee_quote,flair_lifetime_lvr_quote,flair_lifetime_net_quote,flair_fee_pct,flair_lvr_pct,flair_net_pct,return_minus_flair_net_pct
30,131.3,80,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,8760.0,524327,100000.0,51380.159107952,-48.62,225.015,-273.635,85.463,-0.337,13671,6523,7148,419662758.919,421182515.7579,177.0,0.0121,1.0,394,860,0,56529.8432,225905.9885,-169376.1453,56.53,225.906,-169.376,120.756
13,125.9,40,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,8760.0,524327,100000.0,42270.27687661974,-57.73,225.015,-282.745,72.284,-0.699,19733,9378,10355,300076271.0003,301396485.7105,134.4,0.0484,0.8946,4,75181,0,44487.8876,146216.6614,-101728.7737,44.488,146.217,-101.729,43.999
4,582.2,20,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,20,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,8760.0,524327,100000.0,40609.26371177881,-59.391,225.015,-284.406,67.685,-0.826,44543,21420,23123,268139532.0292,269659288.8681,113.7,-0.0017,0.8604,3,97888,0,40703.1175,136714.5032,-96011.3858,40.703,136.715,-96.011,36.62
21,129.4,60,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,5,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,8760.0,524327,100000.0,39715.00905721351,-60.285,225.015,-285.3,82.045,-0.672,16528,7906,8622,450007558.0809,451527314.9198,156.3,0.007,1.0,328,3065,0,60215.5543,214529.5898,-154314.0355,60.216,214.53,-154.314,94.029
12,126.1,40,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,10,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,8760.0,524327,100000.0,39569.93827577745,-60.43,225.015,-285.445,84.911,-0.829,19593,9096,10497,371843322.568,373144721.8785,132.5,0.0032,0.9455,8,47822,0,52598.8709,178484.5679,-125885.697,52.599,178.485,-125.886,65.456
25,128.9,70,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,8760.0,524327,100000.0,35592.233266266696,-64.408,225.015,-289.423,87.327,-0.727,14839,7087,7752,409909523.868,411429280.7069,145.7,0.0111,1.0,394,860,0,52076.5849,207292.7429,-155216.1579,52.077,207.293,-155.216,90.808
20,129.1,60,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,8760.0,524327,100000.0,25134.8608328724,-74.865,225.015,-299.88,88.452,-1.157,16488,7998,8490,413253286.2601,414773043.099,123.0,0.0091,1.0,394,860,0,50518.8237,199012.1058,-148493.2821,50.519,199.012,-148.493,73.628
8,127.6,30,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,8760.0,524327,100000.0,23905.464496680495,-76.095,225.015,-301.11,84.066,-1.493,23397,11015,12382,279252956.6173,280640609.8725,110.6,0.0258,0.9065,4,75181,0,40041.6004,134277.8462,-94236.2458,40.042,134.278,-94.236,18.141
16,129.0,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,5,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,8760.0,524327,100000.0,22480.061151840586,-77.52,225.015,-302.535,88.28,-1.33,18401,9007,9394,452267676.0085,453787432.8474,122.3,0.0053,1.0,328,3065,0,56223.5284,202272.4991,-146048.9707,56.224,202.272,-146.049,68.529
7,580.9,30,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,10,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,8760.0,524327,100000.0,22202.447922580042,-77.798,225.015,-302.813,90.071,-1.539,24824,11951,12873,376104521.0696,377501585.3359,95.1,-0.0059,0.945,8,47822,0,50024.4751,169205.2025,-119180.7274,50.024,169.205,-119.181,41.383
3,582.7,20,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,8760.0,524327,100000.0,20818.516915309614,-79.181,225.015,-304.197,82.819,-1.632,38701,18684,20017,313492820.8968,314897532.881,93.8,0.0202,0.8584,4,75181,0,44707.858,148976.474,-104268.616,44.708,148.976,-104.269,25.088
15,125.5,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,8760.0,524327,100000.0,14182.463532291922,-85.818,225.015,-310.833,91.719,-1.776,18018,8908,9110,410496398.7634,411961296.9441,96.0,0.0078,1.0,394,860,0,47263.8302,189584.8478,-142321.0176,47.264,189.585,-142.321,56.503
11,125.0,40,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,5,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,8760.0,524327,100000.0,13624.696637072631,-86.375,225.015,-311.391,92.433,-1.883,20624,10650,9974,457916429.3144,459436186.1533,94.2,0.0052,0.8801,328,3065,0,53949.7088,192700.3781,-138750.6694,53.95,192.7,-138.751,52.376
2,581.1,20,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,10,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,8760.0,524327,100000.0,9534.84250272446,-90.465,225.015,-315.48,94.828,-2.605,32184,15692,16492,366514173.9267,367981240.4335,75.1,-0.0098,0.9399,8,47822,0,46350.0375,159649.3144,-113299.2768,46.35,159.649,-113.299,22.834
10,126.3,40,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,8760.0,524327,100000.0,6432.019322583386,-93.568,225.015,-318.583,95.923,-2.655,19605,9739,9866,399691020.7167,401175259.6107,73.3,0.0061,1.0,394,860,0,43033.6569,170832.1874,-127798.5305,43.034,170.832,-127.799,34.231
6,578.8,30,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,5,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,8760.0,524327,100000.0,5142.108203789415,-94.858,225.015,-319.873,96.889,-3.018,23703,12333,11370,443034762.9747,444554519.8136,66.2,-0.0007,1.0,328,3065,0,47955.6814,175644.7019,-127689.0206,47.956,175.645,-127.689,32.831
5,582.4,30,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,8760.0,524327,100000.0,2646.121710373852,-97.354,225.015,-322.369,98.186,-3.654,21252,10858,10394,391625644.7577,393130778.9081,49.5,0.0049,1.0,394,860,0,40240.6878,160812.3652,-120571.6775,40.241,160.812,-120.572,23.218
1,580.3,20,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,5,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,8760.0,524327,100000.0,1509.2177322389227,-98.491,225.015,-323.506,99.024,-4.442,27385,14697,12688,433698086.3124,435217843.1513,48.0,0.0013,1.0,328,3065,0,44056.438,163762.0189,-119705.5809,44.056,163.762,-119.706,21.215
0,578.9,20,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,8760.0,524327,100000.0,677.9767230916798,-99.322,225.015,-324.337,99.478,-5.213,22694,11888,10806,374714586.8299,376230597.113,29.5,0.004,1.0,394,860,0,37059.4844,147569.4974,-110510.013,37.059,147.569,-110.51,11.188
