_task_idx,_elapsed_sec,p_spread_bps,p_pool_price_weight,p_anchor_ema_alpha,p_num_levels,p_size_decay,p_spread_multiplier,p_order_safe_ratio,p_enable_asymmetric_spread,p_skew_sensitivity,p_min_spread_bps,p_concentration,p_min_concentration,p_max_concentration,p_natr_period,p_natr_baseline,p_natr_range_scale,p_adx_period,p_hurst_min_candles,p_hmm_n_states,p_hmm_min_candles,p_hmm_refit_interval_sec,p_hmm_window,p_hmm_confidence_threshold,p_trend_sensitivity,p_range_ema_alpha,p_range_update_dead_band_pct,p_soft_recenter_drift_pct,duration_hours,candles,initial_value,final_value,total_return_pct,hold_return_pct,excess_return_pct,max_drawdown_pct,sharpe,total_fills,buy_fills,sell_fills,buy_volume,sell_volume,avg_spread_bps,avg_inv_skew,max_abs_inv_skew,recenters,range_changes
9,202.3,30,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,20,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,8760.0,524327,30290.0,47.554859820057,-99.843,48.881,-148.724,99.856,-11.652,15383,7462,7921,105717173.5782,105817173.5782,-6.2,0.0571,0.7001,68,97888
6,177.2,30,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,5,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,8760.0,524327,30290.0,45.165493289718,-99.851,48.881,-148.732,99.885,-6.842,7558,3908,3650,118644330.2274,118744330.2274,-1.7,0.0008,0.9717,1175,3065
4,178.0,20,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,20,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,8760.0,524327,30290.0,16.645677844589,-99.945,48.881,-148.826,99.949,-13.443,20508,10003,10505,95254812.2694,95354812.2694,-9.7,0.0597,0.6861,68,97888
12,211.8,40,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,10,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,8760.0,524327,30290.0,16.693981247954,-99.945,48.881,-148.826,99.953,-9.314,9816,5093,4723,122998363.4137,123098363.4137,-13.0,0.0597,0.8138,80,47822
8,202.4,30,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,8760.0,524327,30290.0,15.121320525533,-99.95,48.881,-148.831,99.955,-9.463,14152,7154,6998,103762138.3993,103862138.3993,-11.9,0.0335,0.771,52,75181
1,178.0,20,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,5,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,8760.0,524327,30290.0,5.464893845819,-99.982,48.881,-148.863,99.984,-9.266,10245,5226,5019,116704287.4745,116804287.4745,-1.6,0.001,0.9721,1175,3065
0,178.2,20,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,8760.0,524327,30290.0,5.374220252577,-99.982,48.881,-148.863,99.985,-8.916,8971,4590,4381,139823136.8229,139923136.8229,-9.8,0.0002,0.7043,1293,860
7,179.3,30,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,10,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,8760.0,524327,30290.0,2.109753794056,-99.993,48.881,-148.874,99.994,-11.943,12891,6674,6217,123791594.9828,123891594.9828,-13.3,0.0583,0.8022,80,47822
3,179.7,20,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,8760.0,524327,30290.0,1.982025977949,-99.993,48.881,-148.874,99.994,-12.081,19752,9964,9788,99545000.6291,99645000.6291,-13.3,0.041,0.771,52,75181
2,178.7,20,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,10,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,8760.0,524327,30290.0,0.104840829052,-100.0,48.881,-148.88,100.0,-15.768,17997,9242,8755,121229244.9963,121329244.9963,-14.2,0.0594,0.7531,80,47822
