_task_idx,_elapsed_sec,p_spread_bps,p_pool_price_weight,p_anchor_ema_alpha,p_num_levels,p_size_decay,p_spread_multiplier,p_order_safe_ratio,p_enable_asymmetric_spread,p_skew_sensitivity,p_min_spread_bps,p_concentration,p_min_concentration,p_max_concentration,p_natr_period,p_natr_baseline,p_natr_range_scale,p_adx_period,p_hurst_min_candles,p_hmm_n_states,p_hmm_min_candles,p_hmm_refit_interval_sec,p_hmm_window,p_hmm_confidence_threshold,p_trend_sensitivity,p_range_ema_alpha,p_range_update_dead_band_pct,p_soft_recenter_drift_pct,duration_hours,candles,initial_value,final_value,total_return_pct,hold_return_pct,excess_return_pct,max_drawdown_pct,sharpe,total_fills,buy_fills,sell_fills,buy_volume,sell_volume,avg_spread_bps,avg_inv_skew,max_abs_inv_skew,recenters,range_changes
40,216.3,100,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,8760.0,524327,100000.0,23211.94842765918,-76.788,225.015,-301.803,89.203,-1.176,2219,1230,989,492530156.8128,494049913.6517,8.4,0.0006,0.8395,1293,860
35,167.3,90,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,8760.0,524327,100000.0,16267.104465469145,-83.733,225.015,-308.748,92.612,-1.58,2510,1392,1118,493203777.6649,494723534.5038,10.3,0.0004,0.8294,1293,860
41,216.5,100,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,5,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,8760.0,524327,100000.0,15112.418784808287,-84.888,225.015,-309.903,91.614,-1.669,2567,1403,1164,443493035.8209,445012792.6598,18.5,-0.0029,0.9653,1175,3065
42,216.5,100,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,10,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,8760.0,524327,100000.0,9871.818924186638,-90.128,225.015,-315.143,95.601,-2.631,3919,2098,1821,445372530.9511,446892287.79,0.4,0.0526,0.7861,80,47822
36,168.9,90,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,5,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,8760.0,524327,100000.0,9766.0237633088,-90.234,225.015,-315.249,94.024,-2.156,2815,1537,1278,426112146.1671,427631903.006,15.3,-0.0033,0.9669,1175,3065
30,168.4,80,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,8760.0,524327,100000.0,9591.5713423495,-90.408,225.015,-315.424,94.963,-2.152,2774,1526,1248,465938959.8222,467458716.6611,7.1,0.0001,0.8022,1293,860
43,216.7,100,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,8760.0,524327,100000.0,8493.394470064584,-91.507,225.015,-316.522,94.555,-2.906,5215,2665,2550,469798217.813,471317974.6519,6.4,0.02,0.7745,52,75181
44,215.4,100,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,20,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,8760.0,524327,100000.0,7769.5616801538845,-92.23,225.015,-317.246,94.189,-4.082,6620,3279,3341,500176217.5629,501695974.4018,4.6,0.0431,0.5466,68,97888
25,167.4,70,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,8760.0,524327,100000.0,6771.348269024918,-93.229,225.015,-318.244,96.233,-2.52,3192,1762,1430,458034899.0376,459554655.8765,-0.1,0.0001,0.7813,1293,860
37,169.4,90,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,10,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,8760.0,524327,100000.0,6707.3675333552255,-93.293,225.015,-318.308,96.697,-3.12,4497,2418,2079,450680465.6248,452200222.4637,1.8,0.0533,0.7278,80,47822
