_task_idx,_elapsed_sec,p_spread_bps,p_pool_price_weight,p_anchor_ema_alpha,p_num_levels,p_size_decay,p_spread_multiplier,p_order_safe_ratio,p_enable_asymmetric_spread,p_skew_sensitivity,p_min_spread_bps,p_concentration,p_min_concentration,p_max_concentration,p_natr_period,p_natr_baseline,p_natr_range_scale,p_adx_period,p_hurst_min_candles,p_hmm_n_states,p_hmm_min_candles,p_hmm_refit_interval_sec,p_hmm_window,p_hmm_confidence_threshold,p_trend_sensitivity,p_range_ema_alpha,p_range_update_dead_band_pct,p_soft_recenter_drift_pct,p_trend_order_scale_factor,p_trend_halt_threshold,p_outer_capital_fraction,p_outer_recenter_trigger_pct,p_toxicity_activation_count,p_toxicity_buy_ratio_hard,p_toxicity_hard_spread_mult,p_toxicity_hard_size_mult,p_inventory_skew_soft_limit,p_inventory_skew_hard_limit,p_inventory_hard_size_mult,p_inventory_soft_spread_mult,duration_hours,candles,initial_value,final_value,total_return_pct,hold_return_pct,excess_return_pct,max_drawdown_pct,sharpe,total_fills,buy_fills,sell_fills,buy_volume,sell_volume,avg_spread_bps,avg_inv_skew,max_abs_inv_skew,recenters,range_changes,trend_halts,flair_lifetime_fee_quote,flair_lifetime_lvr_quote,flair_lifetime_net_quote,flair_fee_pct,flair_lvr_pct,flair_net_pct,return_minus_flair_net_pct
2,114.2,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,0.30,0.65,8,0.85,1.80,0.40,0.60,0.80,0.20,1.30,8760.0,525601,100000.0,190376.41524195723,90.376,18.32,72.056,36.793,1.371,14396,7077,7319,29629387.4885,29483404.4383,195.3,-0.079,0.9838,1,56351,0,34099.4166,60503.9457,-26404.5291,34.099,60.504,-26.405,116.781
0,114.3,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,0.30,0.65,8,0.65,1.80,0.40,0.60,0.80,0.20,1.30,8760.0,525601,100000.0,156286.1461075176,56.286,18.32,37.966,49.137,1.035,13289,7016,6273,25345115.6868,25239905.5933,202.7,-0.0044,0.9547,1,56351,0,28186.7362,53348.8562,-25162.1199,28.187,53.349,-25.162,81.448
1,113.5,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,0.30,0.65,8,0.75,1.80,0.40,0.60,0.80,0.20,1.30,8760.0,525601,100000.0,142236.28112337872,42.236,18.32,23.916,50.682,0.88,14680,7326,7354,28742262.0233,28653855.9784,184.1,-0.0144,0.9515,1,56351,0,34470.8223,60199.9892,-25729.1669,34.471,60.2,-25.729,67.965
