_task_idx,_elapsed_sec,p_spread_bps,p_pool_price_weight,p_anchor_ema_alpha,p_num_levels,p_size_decay,p_spread_multiplier,p_order_safe_ratio,p_enable_asymmetric_spread,p_skew_sensitivity,p_min_spread_bps,p_concentration,p_min_concentration,p_max_concentration,p_natr_period,p_natr_baseline,p_natr_range_scale,p_adx_period,p_hurst_min_candles,p_hmm_n_states,p_hmm_min_candles,p_hmm_refit_interval_sec,p_hmm_window,p_hmm_confidence_threshold,p_trend_sensitivity,p_range_ema_alpha,p_range_update_dead_band_pct,p_soft_recenter_drift_pct,p_trend_order_scale_factor,p_trend_halt_threshold,p_outer_capital_fraction,p_outer_recenter_trigger_pct,p_toxicity_activation_count,p_inventory_skew_soft_limit,p_inventory_skew_hard_limit,duration_hours,candles,initial_value,final_value,total_return_pct,hold_return_pct,excess_return_pct,max_drawdown_pct,sharpe,total_fills,buy_fills,sell_fills,buy_volume,sell_volume,avg_spread_bps,avg_inv_skew,max_abs_inv_skew,recenters,range_changes,trend_halts,flair_lifetime_fee_quote,flair_lifetime_lvr_quote,flair_lifetime_net_quote,flair_fee_pct,flair_lvr_pct,flair_net_pct,return_minus_flair_net_pct
4,114.3,50,0.70,0.05,1,0.85,1.5,0.5,True,2.0,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,0.30,0.65,8,0.60,0.80,8760.0,525601,100000.0,202180.71620692755,102.181,18.32,83.861,36.375,1.491,14143,6892,7251,26949148.257,26789046.9183,208.4,-0.0611,0.9608,1,56351,0,31119.4785,56934.6798,-25815.2013,31.119,56.935,-25.815,127.996
0,114.3,50,0.70,0.05,1,0.85,1.5,0.5,True,0.0,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,0.30,0.65,8,0.60,0.80,8760.0,525601,100000.0,165973.30070695115,65.973,18.32,47.653,36.693,1.135,15100,7274,7826,30223561.0242,30241991.8909,197.1,-0.0359,0.9903,1,56351,0,36196.9077,63697.8002,-27500.8925,36.197,63.698,-27.501,93.474
1,113.6,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,0.30,0.65,8,0.60,0.80,8760.0,525601,100000.0,145400.97241195606,45.401,18.32,27.081,47.341,0.931,13898,6913,6985,28763978.971,28671787.8629,181.2,-0.0546,0.9526,1,56351,0,32170.1433,58410.0444,-26239.9012,32.17,58.41,-26.24,71.641
2,114.1,50,0.70,0.05,1,0.85,1.5,0.5,True,1.0,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,0.30,0.65,8,0.60,0.80,8760.0,525601,100000.0,135192.84172558587,35.193,18.32,16.873,51.84,0.805,15452,7972,7480,31208953.1065,31128971.2206,176.6,-0.0861,0.9459,1,56351,0,34998.1049,60558.348,-25560.2431,34.998,60.558,-25.56,60.753
3,114.0,50,0.70,0.05,1,0.85,1.5,0.5,True,1.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,0.30,0.65,8,0.60,0.80,8760.0,525601,100000.0,134123.7545396243,34.124,18.32,15.804,50.828,0.788,14663,7746,6917,27582779.8024,27504076.576,188.3,-0.0316,0.9512,1,56351,0,32220.7288,57759.911,-25539.1823,32.221,57.76,-25.539,59.663
