_task_idx,_elapsed_sec,p_spread_bps,p_pool_price_weight,p_anchor_ema_alpha,p_num_levels,p_size_decay,p_spread_multiplier,p_order_safe_ratio,p_enable_asymmetric_spread,p_skew_sensitivity,p_min_spread_bps,p_concentration,p_min_concentration,p_max_concentration,p_natr_period,p_natr_baseline,p_natr_range_scale,p_adx_period,p_hurst_min_candles,p_hmm_n_states,p_hmm_min_candles,p_hmm_refit_interval_sec,p_hmm_window,p_hmm_confidence_threshold,p_trend_sensitivity,p_range_ema_alpha,p_range_update_dead_band_pct,p_soft_recenter_drift_pct,p_trend_order_scale_factor,p_trend_halt_threshold,p_outer_capital_fraction,p_outer_recenter_trigger_pct,p_toxicity_activation_count,p_toxicity_buy_ratio_hard,p_toxicity_hard_spread_mult,p_toxicity_hard_size_mult,p_inventory_skew_soft_limit,p_inventory_skew_hard_limit,p_inventory_hard_size_mult,p_inventory_soft_spread_mult,duration_hours,candles,initial_value,final_value,total_return_pct,hold_return_pct,excess_return_pct,max_drawdown_pct,sharpe,total_fills,buy_fills,sell_fills,buy_volume,sell_volume,avg_spread_bps,avg_inv_skew,max_abs_inv_skew,recenters,range_changes,trend_halts,flair_lifetime_fee_quote,flair_lifetime_lvr_quote,flair_lifetime_net_quote,flair_fee_pct,flair_lvr_pct,flair_net_pct,return_minus_flair_net_pct
3,120.2,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,0.30,0.65,8,0.80,1.80,0.6,0.60,0.80,0.20,1.30,8760.0,525601,100000.0,187983.34961948427,87.983,18.32,69.663,36.743,1.35,14097,7066,7031,30008442.4249,29865321.551,185.8,-0.0726,0.9853,1,56351,0,34508.9285,61136.1135,-26627.185,34.509,61.136,-26.627,114.61
2,120.8,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,0.30,0.65,8,0.80,1.80,0.3,0.60,0.80,0.20,1.30,8760.0,525601,100000.0,129825.75856399501,29.826,18.32,11.506,41.883,0.743,15186,7320,7866,30124289.2507,30050726.5529,186.2,-0.0304,0.9458,1,56351,0,35645.1491,63081.459,-27436.3099,35.645,63.081,-27.436,57.262
0,120.0,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,0.30,0.65,8,0.80,1.80,0.0,0.60,0.80,0.20,1.30,8760.0,525601,100000.0,110961.12989819264,10.961,18.32,-7.359,41.009,0.47,12507,6119,6388,29800663.4641,29814352.5431,131.6,-0.0796,0.9121,1,56351,0,35114.794,56873.4545,-21758.6606,35.115,56.873,-21.759,32.72
1,120.5,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,0.30,0.65,8,0.80,1.80,0.1,0.60,0.80,0.20,1.30,8760.0,525601,100000.0,82330.85295791677,-17.669,18.32,-35.989,58.859,0.047,16380,7903,8477,23423167.2123,23406409.8077,180.4,0.042,0.9147,1,56351,0,30784.1963,54442.1283,-23657.932,30.784,54.442,-23.658,5.989
