_task_idx,_elapsed_sec,p_spread_bps,p_pool_price_weight,p_anchor_ema_alpha,p_num_levels,p_size_decay,p_spread_multiplier,p_order_safe_ratio,p_enable_asymmetric_spread,p_skew_sensitivity,p_min_spread_bps,p_concentration,p_min_concentration,p_max_concentration,p_natr_period,p_natr_baseline,p_natr_range_scale,p_adx_period,p_hurst_min_candles,p_hmm_n_states,p_hmm_min_candles,p_hmm_refit_interval_sec,p_hmm_window,p_hmm_confidence_threshold,p_trend_sensitivity,p_range_ema_alpha,p_range_update_dead_band_pct,p_soft_recenter_drift_pct,p_trend_order_scale_factor,p_trend_halt_threshold,p_outer_capital_fraction,p_outer_recenter_trigger_pct,p_toxicity_activation_count,p_toxicity_buy_ratio_hard,p_toxicity_hard_spread_mult,p_toxicity_hard_size_mult,p_inventory_skew_soft_limit,p_inventory_skew_hard_limit,p_inventory_hard_size_mult,p_inventory_soft_spread_mult,duration_hours,candles,initial_value,final_value,total_return_pct,hold_return_pct,excess_return_pct,max_drawdown_pct,sharpe,total_fills,buy_fills,sell_fills,buy_volume,sell_volume,avg_spread_bps,avg_inv_skew,max_abs_inv_skew,recenters,range_changes,trend_halts,flair_lifetime_fee_quote,flair_lifetime_lvr_quote,flair_lifetime_net_quote,flair_fee_pct,flair_lvr_pct,flair_net_pct,return_minus_flair_net_pct
3,113.3,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,0.30,0.65,8,0.80,1.80,0.6,0.60,0.80,0.20,1.30,8760.0,525601,100000.0,192282.86718781642,92.283,18.32,73.963,36.734,1.387,13596,6758,6838,28570567.4135,28422304.1911,185.8,-0.0556,0.9838,1,56351,0,33594.6371,61100.3019,-27505.6648,33.595,61.1,-27.506,119.789
1,114.0,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,0.30,0.65,8,0.80,1.80,0.1,0.60,0.80,0.20,1.30,8760.0,525601,100000.0,131949.71653664956,31.95,18.32,13.63,41.62,0.767,18267,9255,9012,26580628.7703,26504525.7568,222.8,-0.0274,0.9488,1,56351,0,30378.0357,56675.1758,-26297.1401,30.378,56.675,-26.297,58.247
2,113.6,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,0.30,0.65,8,0.80,1.80,0.3,0.60,0.80,0.20,1.30,8760.0,525601,100000.0,131072.41434047563,31.072,18.32,12.752,48.726,0.752,14424,7226,7198,27966662.3833,27891608.6488,191.6,-0.0128,0.9477,1,56351,0,32449.2653,57416.2174,-24966.9522,32.449,57.416,-24.967,56.039
0,113.2,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,0.30,0.65,8,0.80,1.80,0.0,0.60,0.80,0.20,1.30,8760.0,525601,100000.0,102741.57675680178,2.742,18.32,-15.578,46.918,0.34,12427,6093,6334,29076607.3416,29035512.5489,132.0,0.0906,0.8925,1,56351,0,33950.48,54672.793,-20722.313,33.95,54.673,-20.722,23.464
