_task_idx,_elapsed_sec,p_spread_bps,p_pool_price_weight,p_anchor_ema_alpha,p_num_levels,p_size_decay,p_spread_multiplier,p_order_safe_ratio,p_enable_asymmetric_spread,p_skew_sensitivity,p_min_spread_bps,p_concentration,p_min_concentration,p_max_concentration,p_natr_period,p_natr_baseline,p_natr_range_scale,p_adx_period,p_hurst_min_candles,p_hmm_n_states,p_hmm_min_candles,p_hmm_refit_interval_sec,p_hmm_window,p_hmm_confidence_threshold,p_trend_sensitivity,p_range_ema_alpha,p_range_update_dead_band_pct,p_soft_recenter_drift_pct,p_trend_order_scale_factor,p_trend_halt_threshold,p_outer_capital_fraction,p_outer_recenter_trigger_pct,p_toxicity_activation_count,p_toxicity_buy_ratio_hard,p_toxicity_hard_spread_mult,p_toxicity_hard_size_mult,p_inventory_skew_soft_limit,p_inventory_skew_hard_limit,p_inventory_hard_size_mult,p_inventory_soft_spread_mult,duration_hours,candles,initial_value,final_value,total_return_pct,hold_return_pct,excess_return_pct,max_drawdown_pct,sharpe,total_fills,buy_fills,sell_fills,buy_volume,sell_volume,avg_spread_bps,avg_inv_skew,max_abs_inv_skew,recenters,range_changes,trend_halts,flair_lifetime_fee_quote,flair_lifetime_lvr_quote,flair_lifetime_net_quote,flair_fee_pct,flair_lvr_pct,flair_net_pct,return_minus_flair_net_pct
0,177.7,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,0.30,0.65,8,0.80,1.8,0.40,0.60,0.80,0.20,1.30,8760.0,525601,100000.0,146597.1100640725,46.597,18.32,28.277,47.378,0.944,14259,7104,7155,29979207.7286,29885586.005,180.5,-0.0561,0.9535,1,56351,0,33017.7824,59740.4677,-26722.6853,33.018,59.74,-26.723,73.32
2,178.7,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,0.30,0.65,8,0.80,5.0,0.40,0.60,0.80,0.20,1.30,8760.0,525601,100000.0,131220.7609864299,31.221,18.32,12.901,52.536,0.755,11765,5926,5839,24919408.1661,24844177.0047,208.3,0.0034,0.9357,1,56351,0,30009.4849,51392.6575,-21383.1726,30.009,51.393,-21.383,52.604
1,178.5,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,0.30,0.65,8,0.80,3.0,0.40,0.60,0.80,0.20,1.30,8760.0,525601,100000.0,129876.25486230134,29.876,18.32,11.556,38.655,0.748,13312,6296,7016,27997400.0902,27923776.9974,191.7,-0.0069,0.9513,1,56351,0,33048.4975,58607.2691,-25558.7716,33.048,58.607,-25.559,55.435
