_task_idx,_elapsed_sec,p_spread_bps,p_pool_price_weight,p_anchor_ema_alpha,p_num_levels,p_size_decay,p_spread_multiplier,p_order_safe_ratio,p_enable_asymmetric_spread,p_skew_sensitivity,p_min_spread_bps,p_amplification,duration_hours,candles,initial_value,final_value,total_return_pct,hold_return_pct,excess_return_pct,max_drawdown_pct,sharpe,total_fills,buy_fills,sell_fills,buy_volume,sell_volume,avg_spread_bps,avg_inv_skew,max_abs_inv_skew,recenters,range_changes
28,3.8,90,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,1848.0,110881,113800.0,98403.50348451706,-13.529,-15.958,2.428,49.608,-0.006,4051,2023,2028,2605813.7873,2589840.9622,211.8,0.0112,0.3546,0,0
32,2.6,100,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,1848.0,110881,113800.0,98337.43682649022,-13.587,-15.958,2.37,50.04,-0.006,3202,1599,1603,2289737.5021,2273591.5019,241.4,0.011,0.3827,0,0
24,3.8,80,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,1848.0,110881,113800.0,98158.06064930317,-13.745,-15.958,2.213,49.55,-0.012,5206,2600,2606,2977264.9001,2961352.6465,193.9,0.0112,0.3473,0,0
20,3.3,70,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,1848.0,110881,113800.0,97841.13075665238,-14.024,-15.958,1.934,49.239,-0.023,6809,3401,3408,3409460.8832,3393659.4834,174.8,0.0114,0.3211,0,0
16,3.3,60,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,1848.0,110881,113800.0,96996.4578831444,-14.766,-15.958,1.192,49.168,-0.049,9147,4570,4577,3928789.9819,3912127.4341,152.9,0.0115,0.3086,0,0
12,3.4,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,1848.0,110881,113800.0,96629.39994066543,-15.088,-15.958,0.869,48.794,-0.061,12928,6460,6468,4624227.4093,4607654.2631,130.5,0.0116,0.2746,0,0
8,3.3,40,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,1848.0,110881,113800.0,95715.16113940244,-15.892,-15.958,0.066,48.629,-0.088,18925,9459,9466,5413990.0385,5396924.6483,115.1,0.0116,0.2429,0,0
4,3.5,30,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,1848.0,110881,113800.0,94783.60869587076,-16.71,-15.958,-0.753,48.708,-0.105,29706,14851,14855,6369105.1049,6351979.6225,91.0,0.0117,0.2182,0,0
33,2.5,100,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,5,1848.0,110881,113800.0,93611.03158826272,-17.741,-15.958,-1.783,54.196,-0.186,3177,1590,1587,3794963.0735,3779252.9749,227.9,0.011,0.5557,0,0
29,3.7,90,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,5,1848.0,110881,113800.0,93164.06806116948,-18.134,-15.958,-2.176,53.746,-0.2,3987,1995,1992,4284754.7486,4269536.5492,206.0,0.0107,0.5242,0,0
0,3.4,20,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,1848.0,110881,113800.0,92892.74153230342,-18.372,-15.958,-2.414,48.919,-0.151,49113,24561,24552,7013206.7486,6995791.6165,69.8,0.0118,0.2155,0,0
25,3.7,80,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,5,1848.0,110881,113800.0,92888.45736588888,-18.376,-15.958,-2.418,53.347,-0.206,5150,2577,2573,4921627.0689,4904820.3328,183.7,0.0112,0.5104,0,0
21,3.5,70,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,5,1848.0,110881,113800.0,92630.94673995418,-18.602,-15.958,-2.644,52.772,-0.215,6784,3394,3390,5669881.5255,5653868.032,164.7,0.0114,0.4689,0,0
17,3.5,60,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,5,1848.0,110881,113800.0,91401.31885440822,-19.682,-15.958,-3.725,52.267,-0.259,9167,4586,4581,6566079.207,6549532.5757,145.2,0.0117,0.4396,0,0
13,3.4,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,5,1848.0,110881,113800.0,90107.28749718463,-20.82,-15.958,-4.862,51.576,-0.303,12755,6381,6374,7613754.167,7596037.7935,125.2,0.0117,0.3926,0,0
9,3.5,40,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,5,1848.0,110881,113800.0,88485.57758297196,-22.245,-15.958,-6.287,51.188,-0.358,18991,9500,9491,9055494.323,9037763.23,104.8,0.0118,0.3496,0,0
5,3.4,30,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,5,1848.0,110881,113800.0,85459.3992426093,-24.904,-15.958,-8.946,51.304,-0.451,29649,14831,14818,10597764.0608,10579923.9223,87.0,0.0119,0.3009,0,0
1,3.6,20,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,5,1848.0,110881,113800.0,82516.3875318872,-27.49,-15.958,-11.532,51.843,-0.512,49102,24562,24540,11689309.8926,11670612.8827,67.1,0.0121,0.2542,0,0
34,2.5,100,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,10,1848.0,110881,113800.0,80658.22110711578,-29.123,-15.958,-13.165,69.569,-0.591,3182,1605,1577,7748534.4137,7733514.8038,211.1,0.0107,0.8521,0,0
30,3.5,90,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,10,1848.0,110881,113800.0,79248.90242750531,-30.361,-15.958,-14.403,68.182,-0.648,3990,2011,1979,8721432.4865,8704770.2471,193.5,0.0109,0.8408,0,0
26,3.9,80,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,10,1848.0,110881,113800.0,79243.21758885805,-30.366,-15.958,-14.408,65.937,-0.658,5094,2565,2529,9856809.3792,9840193.7569,174.3,0.0115,0.8035,0,0
22,3.4,70,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,10,1848.0,110881,113800.0,77352.3436746928,-32.028,-15.958,-16.07,64.08,-0.742,6708,3375,3333,11332666.0006,11313945.8865,158.1,0.0124,0.7608,0,0
18,3.4,60,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,10,1848.0,110881,113800.0,76646.68938709996,-32.648,-15.958,-16.69,62.378,-0.765,9112,4580,4532,13166467.9963,13149858.9282,138.7,0.0123,0.7131,0,0
14,3.4,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,10,1848.0,110881,113800.0,74422.81225970664,-34.602,-15.958,-18.644,59.736,-0.869,12797,6427,6370,15360410.537,15341822.828,119.1,0.0125,0.6389,0,0
