_task_idx,_elapsed_sec,p_spread_bps,p_pool_price_weight,p_anchor_ema_alpha,p_num_levels,p_size_decay,p_spread_multiplier,p_order_safe_ratio,p_enable_asymmetric_spread,p_skew_sensitivity,p_min_spread_bps,p_concentration,p_min_concentration,p_max_concentration,p_natr_period,p_natr_baseline,p_natr_range_scale,p_adx_period,p_hurst_min_candles,p_hmm_n_states,p_hmm_min_candles,p_hmm_refit_interval_sec,p_hmm_window,p_hmm_confidence_threshold,p_trend_sensitivity,p_range_ema_alpha,p_range_update_dead_band_pct,p_soft_recenter_drift_pct,p_trend_order_scale_factor,p_trend_halt_threshold,duration_hours,candles,initial_value,final_value,total_return_pct,hold_return_pct,excess_return_pct,max_drawdown_pct,sharpe,total_fills,buy_fills,sell_fills,buy_volume,sell_volume,avg_spread_bps,avg_inv_skew,max_abs_inv_skew,recenters,range_changes,trend_halts,flair_lifetime_fee_quote,flair_lifetime_lvr_quote,flair_lifetime_net_quote,flair_fee_pct,flair_lvr_pct,flair_net_pct,return_minus_flair_net_pct
23,542.6,60,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,45696.0,2083994,100000.0,88529.41596127176,-11.471,993.161,-1004.632,85.239,0.363,60556,29570,30986,633356918.2271,634795882.9186,187.5,-0.0011,0.9073,20,247102,0,632341.434,1405964.1114,-773622.6773,632.341,1405.964,-773.623,762.152
35,566.1,90,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,45696.0,2083994,100000.0,87666.24473715678,-12.334,993.161,-1005.495,96.931,0.411,53762,26112,27650,1310039420.8679,1311431458.8188,244.0,0.0115,1.0,1507,6757,0,1840954.1344,5081396.348,-3240442.2137,1840.954,5081.396,-3240.442,3228.108
17,970.7,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,10,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,45696.0,2083994,100000.0,85705.78102677962,-14.294,993.161,-1007.455,85.402,0.362,82524,40102,42422,911422218.8421,912817112.9464,156.7,0.0024,1.0,32,166194,0,1008522.5478,1997461.3797,-988938.8319,1008.523,1997.461,-988.939,974.645
30,544.0,80,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,45696.0,2083994,100000.0,75965.2847175534,-24.035,993.161,-1017.196,95.863,0.369,61905,30570,31335,1339113354.9303,1340522439.7344,214.9,0.0083,1.0,1507,6757,0,1987711.7019,5082573.7009,-3094861.999,1987.712,5082.574,-3094.862,3070.827
25,540.0,70,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,45696.0,2083994,100000.0,39041.84669272256,-60.958,993.161,-1054.119,97.275,0.206,71769,35564,36205,1255393263.1487,1256856140.8403,178.5,0.008,1.0,1507,6757,0,1955295.2156,4773070.5528,-2817775.3373,1955.295,4773.071,-2817.775,2756.817
18,968.4,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,45696.0,2083994,100000.0,29534.12582654063,-70.466,993.161,-1063.627,91.247,0.032,64304,31467,32837,503226496.4385,504724905.1105,156.9,0.0062,0.9184,20,247102,0,438427.1021,976044.6568,-537617.5546,438.427,976.045,-537.618,467.152
26,541.5,70,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,5,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,45696.0,2083994,100000.0,25571.04832805848,-74.429,993.161,-1067.59,97.809,0.007,61848,30435,31413,1007983794.5666,1009503551.3859,195.3,0.0107,1.0,983,24298,0,1202233.2076,2879201.3778,-1676968.1702,1202.233,2879.201,-1676.968,1602.539
19,971.7,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,20,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,45696.0,2083994,100000.0,21415.105035272416,-78.585,993.161,-1071.746,95.667,-0.077,67992,33364,34628,463565881.5496,465054439.2262,151.4,0.02,0.8776,26,306224,0,462454.9957,1049514.9284,-587059.9327,462.455,1049.515,-587.06,508.475
31,544.9,80,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,5,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,45696.0,2083994,100000.0,20847.62358810297,-79.152,993.161,-1072.313,98.315,-0.023,52373,25577,26796,932730444.9406,934250201.602,219.6,0.0078,1.0,983,24298,0,1048803.6259,2650535.3178,-1601731.6919,1048.804,2650.535,-1601.732,1522.58
21,969.6,60,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,5,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,45696.0,2083994,100000.0,13385.233007510415,-86.615,993.161,-1079.776,98.66,-0.149,73524,36336,37188,1043386109.3842,1044905866.223,159.8,0.0068,1.0,983,24298,0,1318421.4361,2932638.311,-1614216.8749,1318.421,2932.638,-1614.217,1527.602
20,966.2,60,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,45696.0,2083994,100000.0,11623.632029281744,-88.376,993.161,-1081.537,98.49,-0.131,80356,39945,40411,1032227438.0665,1033730260.7096,142.2,0.0065,1.0,1507,6757,0,1493784.4087,3610550.3736,-2116765.9649,1493.784,3610.55,-2116.766,2028.39
14,985.1,40,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,20,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,45696.0,2083994,100000.0,8106.00771273445,-91.894,993.161,-1085.055,96.99,-0.399,74932,36824,38108,439760543.2199,441268490.607,125.1,0.0039,0.8784,26,306224,0,324587.383,785139.4119,-460552.0288,324.587,785.139,-460.552,368.658
