_task_idx,_elapsed_sec,p_spread_bps,p_pool_price_weight,p_anchor_ema_alpha,p_num_levels,p_size_decay,p_spread_multiplier,p_order_safe_ratio,p_enable_asymmetric_spread,p_skew_sensitivity,p_min_spread_bps,p_amplification,duration_hours,candles,initial_value,final_value,total_return_pct,hold_return_pct,excess_return_pct,max_drawdown_pct,sharpe,total_fills,buy_fills,sell_fills,buy_volume,sell_volume,avg_spread_bps,avg_inv_skew,max_abs_inv_skew,recenters,range_changes
32,13.6,100,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,8760.0,525601,88190.0,124084.89441727189,40.702,25.422,15.279,53.287,0.852,6891,3422,3469,5344621.6259,5366057.0133,232.3,0.103,0.4324,0,0
28,18.9,90,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,8760.0,525601,88190.0,123003.35176975142,39.475,25.422,14.053,53.516,0.838,8781,4364,4417,6133983.1247,6154972.9856,210.6,0.1031,0.4265,0,0
24,18.9,80,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,8760.0,525601,88190.0,121593.24474212142,37.876,25.422,12.454,54.085,0.819,11433,5686,5747,7111680.1204,7132845.5947,186.2,0.1031,0.4306,0,0
33,13.3,100,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,5,8760.0,525601,88190.0,121290.20010526413,37.533,25.422,12.11,55.441,0.813,6680,3332,3348,8658881.9436,8680084.0051,213.0,0.1025,0.4889,0,0
29,19.0,90,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,5,8760.0,525601,88190.0,119885.23547471645,35.94,25.422,10.517,55.922,0.795,8546,4264,4282,9980105.7104,10001097.8505,192.1,0.1023,0.4785,0,0
20,18.7,70,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,8760.0,525601,88190.0,119754.76251316855,35.792,25.422,10.369,54.637,0.795,15237,7583,7654,8328533.5119,8349928.9957,164.7,0.1029,0.4275,0,0
16,18.7,60,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,8760.0,525601,88190.0,117687.05601491522,33.447,25.422,8.025,55.239,0.769,20970,10443,10527,9860300.2031,9882082.6382,144.0,0.1031,0.4316,0,0
25,19.1,80,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,5,8760.0,525601,88190.0,117321.85387666048,33.033,25.422,7.611,56.703,0.763,11161,5570,5591,11612657.5175,11634454.5146,172.6,0.1025,0.4841,0,0
34,13.3,100,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,10,8760.0,525601,88190.0,115423.20427583049,30.88,25.422,5.458,61.623,0.739,6603,3325,3278,17426355.4386,17450021.4096,194.8,0.1013,0.6954,0,0
12,17.2,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,8760.0,525601,88190.0,114866.00812288001,30.248,25.422,4.826,56.118,0.732,30038,14969,15069,11807751.4175,11829166.5733,123.6,0.1031,0.4269,0,0
21,18.7,70,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,5,8760.0,525601,88190.0,113802.07922239893,29.042,25.422,3.62,57.374,0.719,14869,7422,7447,13584839.9868,13607627.0341,152.9,0.1027,0.489,0,0
8,18.0,40,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,8760.0,525601,88190.0,111026.37135626518,25.895,25.422,0.472,57.213,0.683,45407,22642,22765,14366640.3899,14388360.5357,103.4,0.1031,0.4223,0,0
17,18.7,60,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,5,8760.0,525601,88190.0,110990.88846723386,25.854,25.422,0.432,58.609,0.684,20671,10321,10350,16210162.7063,16232272.8857,134.7,0.1029,0.4795,0,0
30,18.8,90,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,10,8760.0,525601,88190.0,109153.17239190803,23.77,25.422,-1.652,63.658,0.669,8388,4221,4167,19934514.9718,19957433.8086,177.7,0.1013,0.7035,0,0
