_task_idx,_elapsed_sec,p_spread_bps,p_pool_price_weight,p_anchor_ema_alpha,p_num_levels,p_size_decay,p_spread_multiplier,p_order_safe_ratio,p_enable_asymmetric_spread,p_skew_sensitivity,p_min_spread_bps,p_concentration,p_min_concentration,p_max_concentration,p_natr_period,p_natr_baseline,p_natr_range_scale,p_adx_period,p_hurst_min_candles,p_hmm_n_states,p_hmm_min_candles,p_hmm_refit_interval_sec,p_hmm_window,p_hmm_confidence_threshold,p_trend_sensitivity,p_range_ema_alpha,p_range_update_dead_band_pct,p_soft_recenter_drift_pct,p_trend_order_scale_factor,p_trend_halt_threshold,p_outer_capital_fraction,p_outer_recenter_trigger_pct,p_toxicity_activation_count,p_inventory_skew_soft_limit,p_inventory_skew_hard_limit,duration_hours,candles,initial_value,final_value,total_return_pct,hold_return_pct,excess_return_pct,max_drawdown_pct,sharpe,total_fills,buy_fills,sell_fills,buy_volume,sell_volume,avg_spread_bps,avg_inv_skew,max_abs_inv_skew,recenters,range_changes,trend_halts,flair_lifetime_fee_quote,flair_lifetime_lvr_quote,flair_lifetime_net_quote,flair_fee_pct,flair_lvr_pct,flair_net_pct,return_minus_flair_net_pct
4,28.1,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,1.5,0.1,0.5,2.0,0.0,0.0,0.30,0.65,8,0.60,0.80,2136.0,127557,100000.0,307978.3423127518,207.978,146.854,61.124,19.116,5.415,9181,3944,5237,17607061.8607,17670348.69,177.2,0.1506,0.8799,0,45627,0,34857.9944,82050.9369,-47192.9424,34.858,82.051,-47.193,255.171
3,27.9,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,1.0,0.1,0.5,2.0,0.0,0.0,0.30,0.65,8,0.60,0.80,2136.0,127557,100000.0,281961.94004495826,181.962,146.854,35.108,28.771,4.657,10075,4897,5178,19800914.6887,19946420.0287,178.3,0.0352,0.931,0,36838,0,41256.2738,91354.5227,-50098.2489,41.256,91.355,-50.098,232.06
2,27.8,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,0.30,0.65,8,0.60,0.80,2136.0,127557,100000.0,172455.38444151182,72.455,146.854,-74.399,33.518,2.557,7331,3553,3778,14550464.119,14695969.459,164.3,-0.0165,0.9293,0,25923,0,29549.1213,72605.8092,-43056.6878,29.549,72.606,-43.057,115.512
1,27.5,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.3,0.1,0.5,2.0,0.0,0.0,0.30,0.65,8,0.60,0.80,2136.0,127557,100000.0,151534.10397470777,51.534,146.854,-95.32,33.015,2.119,7476,3630,3846,14630091.7331,14775597.0731,160.0,-0.1066,0.9094,0,20974,0,30407.1746,61839.937,-31432.7624,30.407,61.84,-31.433,82.967
0,27.6,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.0,0.1,0.5,2.0,0.0,0.0,0.30,0.65,8,0.60,0.80,2136.0,127557,100000.0,137306.85206085327,37.307,146.854,-109.547,32.873,1.748,6981,3299,3682,13158711.8941,13304217.2341,166.9,-0.0337,0.9237,0,14947,0,26319.0091,56700.2686,-30381.2594,26.319,56.7,-30.381,67.688
