_task_idx,_elapsed_sec,p_spread_bps,p_pool_price_weight,p_anchor_ema_alpha,p_num_levels,p_size_decay,p_spread_multiplier,p_order_safe_ratio,p_enable_asymmetric_spread,p_skew_sensitivity,p_min_spread_bps,p_concentration,p_min_concentration,p_max_concentration,p_natr_period,p_natr_baseline,p_natr_range_scale,p_adx_period,p_hurst_min_candles,p_hmm_n_states,p_hmm_min_candles,p_hmm_refit_interval_sec,p_hmm_window,p_hmm_confidence_threshold,p_trend_sensitivity,p_range_ema_alpha,p_range_update_dead_band_pct,p_soft_recenter_drift_pct,p_trend_order_scale_factor,p_trend_halt_threshold,p_outer_capital_fraction,p_outer_recenter_trigger_pct,p_toxicity_activation_count,p_inventory_skew_soft_limit,p_inventory_skew_hard_limit,duration_hours,candles,initial_value,final_value,total_return_pct,hold_return_pct,excess_return_pct,max_drawdown_pct,sharpe,total_fills,buy_fills,sell_fills,buy_volume,sell_volume,avg_spread_bps,avg_inv_skew,max_abs_inv_skew,recenters,range_changes,trend_halts,flair_lifetime_fee_quote,flair_lifetime_lvr_quote,flair_lifetime_net_quote,flair_fee_pct,flair_lvr_pct,flair_net_pct,return_minus_flair_net_pct
4,35.4,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,1.5,0.1,0.5,2.0,0.5,0.5,0.30,0.65,8,0.60,0.80,2136.0,127557,100000.0,131130.3870195938,31.13,146.854,-115.724,29.287,1.677,5676,2515,3161,8155719.1368,8301224.4768,210.0,0.1451,0.7239,0,45627,79912,16995.9515,64665.7437,-47669.7923,16.996,64.666,-47.67,78.8
0,35.2,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.0,0.1,0.5,2.0,0.5,0.5,0.30,0.65,8,0.60,0.80,2136.0,127557,100000.0,123159.10584643667,23.159,146.854,-123.695,35.367,1.371,4842,2185,2657,6845621.3201,6991126.6601,232.2,-0.1474,0.8928,0,14947,79912,14211.731,60857.1838,-46645.4528,14.212,60.857,-46.645,69.804
1,35.4,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.3,0.1,0.5,2.0,0.5,0.5,0.30,0.65,8,0.60,0.80,2136.0,127557,100000.0,118610.60428194908,18.611,146.854,-128.244,31.553,1.172,6034,3065,2969,8347981.7435,8461116.8393,216.1,0.0538,0.7968,0,20974,79912,18384.2626,63639.7162,-45255.4536,18.384,63.64,-45.255,63.866
2,35.3,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.5,0.5,0.30,0.65,8,0.60,0.80,2136.0,127557,100000.0,118104.39400452783,18.104,146.854,-128.75,29.681,1.165,5472,2747,2725,7676532.1667,7822037.5067,225.7,0.048,0.7409,0,25923,79912,16488.9133,60771.4081,-44282.4948,16.489,60.771,-44.282,62.386
3,35.3,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,1.0,0.1,0.5,2.0,0.5,0.5,0.30,0.65,8,0.60,0.80,2136.0,127557,100000.0,109434.42588968328,9.434,146.854,-137.42,32.293,0.85,5456,2541,2915,8269738.2071,8415243.5471,208.0,0.0515,0.7477,0,36838,79912,17284.7798,66070.8498,-48786.07,17.285,66.071,-48.786,58.22
