_task_idx,_elapsed_sec,p_spread_bps,p_pool_price_weight,p_anchor_ema_alpha,p_num_levels,p_size_decay,p_spread_multiplier,p_order_safe_ratio,p_enable_asymmetric_spread,p_skew_sensitivity,p_min_spread_bps,p_concentration,p_min_concentration,p_max_concentration,p_natr_period,p_natr_baseline,p_natr_range_scale,p_adx_period,p_hurst_min_candles,p_hmm_n_states,p_hmm_min_candles,p_hmm_refit_interval_sec,p_hmm_window,p_hmm_confidence_threshold,p_trend_sensitivity,p_range_ema_alpha,p_range_update_dead_band_pct,p_soft_recenter_drift_pct,p_trend_order_scale_factor,p_trend_halt_threshold,duration_hours,candles,initial_value,final_value,total_return_pct,hold_return_pct,excess_return_pct,max_drawdown_pct,sharpe,total_fills,buy_fills,sell_fills,buy_volume,sell_volume,avg_spread_bps,avg_inv_skew,max_abs_inv_skew,recenters,range_changes,trend_halts,flair_lifetime_fee_quote,flair_lifetime_lvr_quote,flair_lifetime_net_quote,flair_fee_pct,flair_lvr_pct,flair_net_pct,return_minus_flair_net_pct
4,0.7,20,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,20,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,56.0,3361,100000.0,185197.5805559409,85.198,91.331,-6.134,31.958,-8.325,790,447,343,543586.4116,470071.3155,-44.7,0.2472,0.3731,4,631,0,642.011,17246.0527,-16604.0417,0.642,17.246,-16.604,101.802
9,0.8,30,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,20,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,56.0,3361,100000.0,183088.76961913545,83.089,91.331,-8.242,32.156,-8.309,529,307,222,596958.6945,526977.7209,-40.8,0.1348,0.3437,4,631,0,713.4889,21469.7586,-20756.2697,0.713,21.47,-20.756,103.845
3,0.7,20,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,56.0,3361,100000.0,183030.99535263923,83.031,91.331,-8.3,32.348,-8.369,612,364,248,546767.2109,476883.0603,-181.8,-0.0156,0.3632,4,507,0,654.7271,19933.5947,-19278.8676,0.655,19.934,-19.279,102.31
14,0.8,40,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,20,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,56.0,3361,100000.0,181254.6893527731,81.255,91.331,-10.076,32.268,-8.217,398,237,161,626798.9468,559891.6791,-35.1,0.0566,0.3506,4,631,0,754.4018,24851.5015,-24097.0997,0.754,24.852,-24.097,105.352
2,0.7,20,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,10,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,56.0,3361,100000.0,180654.55097729407,80.655,91.331,-10.677,32.536,-8.013,732,422,310,1060107.5762,994206.0708,-178.8,-0.2692,0.7313,7,366,0,1286.987,27407.244,-26120.257,1.287,27.407,-26.12,106.775
18,0.8,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,56.0,3361,100000.0,180148.89444535918,80.149,91.331,-11.182,32.899,-6.769,308,167,141,909349.8086,908321.6623,-80.6,-0.2559,0.8602,4,507,0,1146.3842,32673.7169,-31527.3327,1.146,32.674,-31.527,111.676
8,0.8,30,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,56.0,3361,100000.0,180113.96978593824,80.114,91.331,-11.217,32.632,-8.377,374,219,155,599293.9968,534298.4427,-237.1,-0.2811,0.5878,4,507,0,727.0318,24867.4109,-24140.3791,0.727,24.867,-24.14,104.254
19,0.7,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,20,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,56.0,3361,100000.0,179209.8699881748,79.21,91.331,-12.121,32.477,-8.173,314,192,122,643594.0261,580113.6385,-35.8,-0.0128,0.3811,4,631,0,779.449,27448.7755,-26669.3265,0.779,27.449,-26.669,105.879
13,0.7,40,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,56.0,3361,100000.0,177951.14813936167,77.951,91.331,-13.38,32.654,-8.134,323,211,112,618028.9776,556658.0618,-136.0,-0.4514,0.7425,4,507,0,754.3052,27836.5538,-27082.2485,0.754,27.837,-27.082,105.033
23,0.7,60,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,56.0,3361,100000.0,177481.0539737623,77.481,91.331,-13.85,33.127,-6.608,247,137,110,892024.2123,889858.8044,-91.3,-0.2973,0.8773,4,507,0,1124.2466,35436.8217,-34312.5751,1.124,35.437,-34.313,111.794
