_task_idx,_elapsed_sec,p_spread_bps,p_pool_price_weight,p_anchor_ema_alpha,p_num_levels,p_size_decay,p_spread_multiplier,p_order_safe_ratio,p_enable_asymmetric_spread,p_skew_sensitivity,p_min_spread_bps,p_concentration,p_min_concentration,p_max_concentration,p_natr_period,p_natr_baseline,p_natr_range_scale,p_adx_period,p_hurst_min_candles,p_hmm_n_states,p_hmm_min_candles,p_hmm_refit_interval_sec,p_hmm_window,p_hmm_confidence_threshold,p_trend_sensitivity,p_range_ema_alpha,p_range_update_dead_band_pct,p_soft_recenter_drift_pct,p_trend_order_scale_factor,p_trend_halt_threshold,duration_hours,candles,initial_value,final_value,total_return_pct,hold_return_pct,excess_return_pct,max_drawdown_pct,sharpe,total_fills,buy_fills,sell_fills,buy_volume,sell_volume,avg_spread_bps,avg_inv_skew,max_abs_inv_skew,recenters,range_changes,trend_halts
38,0.4,90,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,56.0,3361,100000.0,145946.4415052342,45.946,91.331,-45.385,40.947,-20.467,189,93,96,2040338.3677,2185073.1217,-240.1,0.0408,0.6657,6,507,0
16,0.4,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,5,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,56.0,3361,100000.0,145057.87960983146,45.058,91.331,-46.273,36.053,-12.941,123,62,61,2169086.1132,2162840.5008,-181.9,0.0403,0.8833,23,47,0
43,0.3,100,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,56.0,3361,100000.0,144175.69819588968,44.176,91.331,-47.155,40.922,-19.863,172,86,86,2035293.0236,2173723.1546,-239.8,0.0278,0.6508,6,507,0
32,0.4,80,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,10,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,56.0,3361,100000.0,140880.73507524352,40.881,91.331,-50.45,40.639,-15.658,110,60,50,1533755.9051,1534510.7025,-211.5,-0.1684,0.809,8,366,0
5,0.3,30,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,56.0,3361,100000.0,139228.4987193967,39.228,91.331,-52.103,38.564,-15.948,170,88,82,2974608.1294,2978131.8833,-138.4,0.015,0.5798,23,14,0
21,0.4,60,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,5,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,56.0,3361,100000.0,137396.1269564856,37.396,91.331,-53.935,36.846,-13.275,106,55,51,2203460.9233,2210055.5198,-415.3,0.0175,0.893,23,47,0
37,0.4,90,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,10,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,56.0,3361,100000.0,136826.89998453454,36.827,91.331,-54.504,41.161,-16.005,101,56,45,1548209.0743,1555757.6292,-214.1,-0.2244,0.8755,8,366,0
42,0.3,100,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,10,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,56.0,3361,100000.0,132950.8288820022,32.951,91.331,-58.38,41.63,-16.349,97,53,44,1675832.8179,1689877.2183,-215.7,-0.2096,0.8803,8,366,0
26,0.4,70,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,5,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,56.0,3361,100000.0,130764.62614319802,30.765,91.331,-60.566,37.0,-12.514,97,50,47,2194523.2104,2212231.4333,-399.4,0.0409,0.8378,23,47,0
10,0.3,40,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,56.0,3361,100000.0,125783.24578409418,25.783,91.331,-65.548,40.169,-17.556,121,61,60,2763092.9706,2789149.4092,-214.5,0.028,0.549,23,14,0
31,0.4,80,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,5,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,56.0,3361,100000.0,120304.32117204065,20.304,91.331,-71.027,39.394,-12.443,82,41,41,2175085.7094,2210324.1902,-171.0,0.0205,0.8263,23,47,0
15,0.3,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,56.0,3361,100000.0,111318.21033598398,11.318,91.331,-80.013,42.585,-19.059,89,45,44,2562018.261,2612316.4211,-452.0,0.0296,0.4998,23,14,0
36,0.4,90,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,5,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,56.0,3361,100000.0,110899.95609027887,10.9,91.331,-80.431,41.54,-13.071,63,32,31,1967925.7176,2018924.824,-278.3,0.0213,0.7766,23,47,0
41,0.3,100,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,5,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,56.0,3361,100000.0,101317.52129428397,1.318,91.331,-90.014,43.248,-15.278,62,30,32,1909439.135,1976497.2905,-260.6,0.0147,0.7274,23,47,0
20,0.4,60,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,56.0,3361,100000.0,97136.9500798944,-2.863,91.331,-94.194,45.298,-20.6,81,42,39,2345089.4748,2419153.7828,-431.6,0.0253,0.4509,23,14,0
25,0.3,70,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,56.0,3361,100000.0,84828.89930369612,-15.171,91.331,-106.502,47.413,-19.818,65,35,30,2273413.6171,2368104.7909,-522.9,0.0214,0.4023,23,14,0
30,0.3,80,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,56.0,3361,100000.0,67963.35684734186,-32.037,91.331,-123.368,53.157,-21.969,61,31,30,2046849.1055,2169804.9725,-404.9,0.0093,0.3465,23,14,0
35,0.3,90,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,56.0,3361,100000.0,56719.58587009594,-43.28,91.331,-134.612,55.999,-21.824,40,23,17,1654551.1062,1796350.2294,-615.5,0.0106,0.3034,23,14,0
40,0.3,100,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,56.0,3361,100000.0,48704.648884806156,-51.295,91.331,-142.626,57.022,-17.168,38,21,17,1429613.4879,1584844.7157,-640.6,0.0085,0.2642,23,14,0
