duration_hours,candles,initial_value,final_value,total_return_pct,hold_return_pct,excess_return_pct,max_drawdown_pct,sharpe,total_fills,buy_fills,sell_fills,buy_volume,sell_volume,avg_spread_bps,avg_inv_skew,max_abs_inv_skew,recenters,range_changes,trend_halts,flair_lifetime_fee_quote,flair_lifetime_lvr_quote,flair_lifetime_net_quote,flair_fee_pct,flair_lvr_pct,flair_net_pct,return_minus_flair_net_pct,_label,_start,_end,_elapsed_sec,_start_price,p_spread_bps,p_concentration,p_min_concentration,p_max_concentration,p_pool_price_weight,p_anchor_ema_alpha,p_order_safe_ratio,p_natr_period,p_natr_baseline,p_natr_range_scale,p_outer_capital_fraction,p_outer_spread_mult,p_outer_spread_pct_of_range,p_outer_recenter_trigger_pct,p_outer_range_mult,p_enable_asymmetric_spread,p_skew_sensitivity,p_min_spread_bps,p_range_ema_alpha,p_range_update_dead_band_pct,p_soft_recenter_drift_pct,p_trend_sensitivity,p_trend_order_scale_factor,p_trend_halt_threshold,p_adx_period,p_hurst_min_candles,p_hmm_n_states,p_hmm_min_candles,p_hmm_refit_interval_sec,p_hmm_window,p_hmm_confidence_threshold,p_toxicity_window_sec,p_toxicity_window_fills,p_toxicity_activation_count,p_toxicity_buy_ratio_soft,p_toxicity_buy_ratio_hard,p_toxicity_sell_ratio_soft,p_toxicity_sell_ratio_hard,p_toxicity_soft_spread_mult,p_toxicity_hard_spread_mult,p_toxicity_soft_size_mult,p_toxicity_hard_size_mult,p_inventory_skew_soft_limit,p_inventory_skew_hard_limit,p_inventory_soft_size_mult,p_inventory_hard_size_mult,p_inventory_soft_spread_mult,p_inventory_hard_spread_mult,p_inventory_hard_disable_accumulation_side,p_enable_flair_monitor,p_flair_markout_sec,p_flair_window_sec,p_flair_fee_bps
8760.0,524327,100000.0,97463.51683995481,-2.536,234.971,-237.507,60.743,0.264,11819,5158,6661,75694.6179,76081.4651,146.5,0.0828,0.9005,1,54618,0,35559.7377,67871.2531,-32311.5154,35.56,67.871,-32.312,29.776,2020,2020-01-01,2020-12-31,122.2,129.25,50,15,3,40,0.70,0.05,0.5,14,0.005,1.0,0.30,2.5,0.60,0.50,2.5,True,0.5,20,0.1,0.5,2.0,0.5,0.0,0.0,14,100,3,999999,1800,500,0.80,300,20,8,0.65,0.80,0.65,0.80,1.30,1.80,0.70,0.40,0.60,0.80,0.60,0.20,1.30,1.80,True,True,30,1800,10
8736.0,523168,100000.0,271336.2117106601,171.336,201.967,-30.63,52.398,1.733,20190,9657,10533,19886.3016,19881.0832,169.3,0.0323,0.9795,0,63726,0,87403.2548,141528.2205,-54124.9658,87.403,141.528,-54.125,225.461,2021,2021-01-01,2021-12-31,123.0,736.56,50,15,3,40,0.70,0.05,0.5,14,0.005,1.0,0.30,2.5,0.60,0.50,2.5,True,0.5,20,0.1,0.5,2.0,0.5,0.0,0.0,14,100,3,999999,1800,500,0.80,300,20,8,0.65,0.80,0.65,0.80,1.30,1.80,0.70,0.40,0.60,0.80,0.60,0.20,1.30,1.80,True,True,30,1800,10
6515.0,390900,100000.0,56694.65794017369,-43.305,-32.311,-10.994,65.186,-0.854,9290,4672,4618,4585.1542,4588.9813,150.2,-0.0212,0.9298,0,42840,0,15916.4118,21522.7347,-5606.3229,15.916,21.523,-5.606,-37.699,2022,2022-01-01,2022-12-31,92.0,3782.41,50,15,3,40,0.70,0.05,0.5,14,0.005,1.0,0.30,2.5,0.60,0.50,2.5,True,0.5,20,0.1,0.5,2.0,0.5,0.0,0.0,14,100,3,999999,1800,500,0.80,300,20,8,0.65,0.80,0.65,0.80,1.30,1.80,0.70,0.40,0.60,0.80,0.60,0.20,1.30,1.80,True,True,30,1800,10
7041.5,422411,100000.0,124478.2021319126,24.478,27.427,-2.949,20.79,1.131,3010,1426,1584,2160.881,2189.8692,153.9,0.1403,0.8981,0,36419,0,8279.812,9110.4175,-830.6055,8.28,9.11,-0.831,25.309,2023,2023-01-01,2023-12-31,96.7,1495.0,50,15,3,40,0.70,0.05,0.5,14,0.005,1.0,0.30,2.5,0.60,0.50,2.5,True,0.5,20,0.1,0.5,2.0,0.5,0.0,0.0,14,100,3,999999,1800,500,0.80,300,20,8,0.65,0.80,0.65,0.80,1.30,1.80,0.70,0.40,0.60,0.80,0.60,0.20,1.30,1.80,True,True,30,1800,10
8760.0,525601,100000.0,122111.80790674282,22.112,22.09,0.022,35.336,0.702,7133,3413,3720,3452.5451,3437.4544,157.4,-0.0904,0.9208,0,48016,0,19677.1019,19939.5172,-262.4154,19.677,19.94,-0.262,22.374,2024,2024-01-01,2024-12-31,121.9,2299.05,50,15,3,40,0.70,0.05,0.5,14,0.005,1.0,0.30,2.5,0.60,0.50,2.5,True,0.5,20,0.1,0.5,2.0,0.5,0.0,0.0,14,100,3,999999,1800,500,0.80,300,20,8,0.65,0.80,0.65,0.80,1.30,1.80,0.70,0.40,0.60,0.80,0.60,0.20,1.30,1.80,True,True,30,1800,10
1848.0,110881,100000.0,77892.67601285412,-22.107,-22.382,0.275,36.479,-1.466,2793,1442,1351,1184.0749,1160.549,152.9,0.0424,0.9398,0,12264,0,6410.431,7278.7637,-868.3328,6.41,7.279,-0.868,-21.239,2025q1,2025-01-01,2025-03-19,27.9,3405.21,50,15,3,40,0.70,0.05,0.5,14,0.005,1.0,0.30,2.5,0.60,0.50,2.5,True,0.5,20,0.1,0.5,2.0,0.5,0.0,0.0,14,100,3,999999,1800,500,0.80,300,20,8,0.65,0.80,0.65,0.80,1.30,1.80,0.70,0.40,0.60,0.80,0.60,0.20,1.30,1.80,True,True,30,1800,10
