_task_idx,_elapsed_sec,p_spread_bps,p_pool_price_weight,p_anchor_ema_alpha,p_num_levels,p_size_decay,p_spread_multiplier,p_order_safe_ratio,p_enable_asymmetric_spread,p_skew_sensitivity,p_min_spread_bps,p_concentration,p_min_concentration,p_max_concentration,p_natr_period,p_natr_baseline,p_natr_range_scale,p_adx_period,p_hurst_min_candles,p_hmm_n_states,p_hmm_min_candles,p_hmm_refit_interval_sec,p_hmm_window,p_hmm_confidence_threshold,p_trend_sensitivity,p_range_ema_alpha,p_range_update_dead_band_pct,p_soft_recenter_drift_pct,p_trend_order_scale_factor,p_trend_halt_threshold,p_outer_capital_fraction,p_outer_recenter_trigger_pct,p_toxicity_activation_count,p_inventory_skew_soft_limit,p_inventory_skew_hard_limit,duration_hours,candles,initial_value,final_value,total_return_pct,hold_return_pct,excess_return_pct,max_drawdown_pct,sharpe,total_fills,buy_fills,sell_fills,buy_volume,sell_volume,avg_spread_bps,avg_inv_skew,max_abs_inv_skew,recenters,range_changes,trend_halts,flair_lifetime_fee_quote,flair_lifetime_lvr_quote,flair_lifetime_net_quote,flair_fee_pct,flair_lvr_pct,flair_net_pct,return_minus_flair_net_pct
4,66.5,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,1.5,0.1,0.5,2.0,0.5,0.5,0.30,0.65,8,0.60,0.80,1488.0,89280,100000.0,103014.8093181024,3.015,-4.767,7.782,26.142,0.623,1405,729,676,3433907.379,3489211.9742,297.9,-0.3988,0.7926,0,26168,56092,2490.6626,9006.2047,-6515.5421,2.491,9.006,-6.516,9.531
2,66.8,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.5,0.5,0.30,0.65,8,0.60,0.80,1488.0,89280,100000.0,102846.47655178691,2.846,-4.767,7.613,26.206,0.605,1304,695,609,2955604.7011,3085138.3798,332.1,-0.4772,0.8986,0,8551,56092,2168.7808,7847.572,-5678.7912,2.169,7.848,-5.679,8.525
3,66.4,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,1.0,0.1,0.5,2.0,0.5,0.5,0.30,0.65,8,0.60,0.80,1488.0,89280,100000.0,102516.89801284879,2.517,-4.767,7.284,26.296,0.571,1304,667,637,3131996.9912,3261530.6699,302.5,-0.4493,0.82,0,17673,56092,2295.035,7825.898,-5530.863,2.295,7.826,-5.531,8.048
1,67.2,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.3,0.1,0.5,2.0,0.5,0.5,0.30,0.65,8,0.60,0.80,1488.0,89280,100000.0,99050.82749125367,-0.949,-4.767,3.818,26.245,0.197,1281,645,636,2856483.0509,2877872.8092,305.0,-0.3211,0.8166,0,4532,56092,2076.5739,7493.8934,-5417.3196,2.077,7.494,-5.417,4.468
0,64.3,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.0,0.1,0.5,2.0,0.5,0.5,0.30,0.65,8,0.60,0.80,1488.0,89280,100000.0,89541.67235719197,-10.458,-4.767,-5.691,33.768,-0.851,1328,643,685,2743832.88,2816527.2241,292.4,-0.0862,0.9068,7,783,56092,2029.5166,5541.5282,-3512.0116,2.03,5.542,-3.512,-6.946
