_task_idx,_elapsed_sec,p_spread_bps,p_pool_price_weight,p_anchor_ema_alpha,p_num_levels,p_size_decay,p_spread_multiplier,p_order_safe_ratio,p_enable_asymmetric_spread,p_skew_sensitivity,p_min_spread_bps,p_concentration,p_min_concentration,p_max_concentration,p_natr_period,p_natr_baseline,p_natr_range_scale,p_adx_period,p_hurst_min_candles,p_hmm_n_states,p_hmm_min_candles,p_hmm_refit_interval_sec,p_hmm_window,p_hmm_confidence_threshold,p_trend_sensitivity,p_range_ema_alpha,p_range_update_dead_band_pct,p_soft_recenter_drift_pct,p_trend_order_scale_factor,p_trend_halt_threshold,duration_hours,candles,initial_value,final_value,total_return_pct,hold_return_pct,excess_return_pct,max_drawdown_pct,sharpe,total_fills,buy_fills,sell_fills,buy_volume,sell_volume,avg_spread_bps,avg_inv_skew,max_abs_inv_skew,recenters,range_changes,trend_halts,flair_lifetime_fee_quote,flair_lifetime_lvr_quote,flair_lifetime_net_quote,flair_fee_pct,flair_lvr_pct,flair_net_pct,return_minus_flair_net_pct
34,25.2,80,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,20,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,1848.0,110881,100000.0,102310.95130062308,2.311,-10.461,12.772,40.951,0.626,2555,1211,1344,3614778.5609,3523327.8313,304.0,0.0026,0.9433,4,14981,0,6092.7227,18144.7327,-12052.01,6.093,18.145,-12.052,14.363
39,25.0,90,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,20,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,1848.0,110881,100000.0,100779.63557669496,0.78,-10.461,11.24,40.474,0.556,1992,958,1034,3078108.0248,2988888.2331,333.7,-0.0133,0.9624,4,14981,0,5104.1538,15532.1107,-10427.9569,5.104,15.532,-10.428,11.208
19,26.0,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,20,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,1848.0,110881,100000.0,98202.31998205793,-1.798,-10.461,8.663,41.517,0.446,6223,3006,3217,6067577.6623,5982112.701,200.1,0.0341,0.9286,4,14981,0,10693.992,29286.6352,-18592.6431,10.694,29.287,-18.593,16.795
24,25.7,60,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,20,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,1848.0,110881,100000.0,97238.31540404561,-2.762,-10.461,7.699,40.88,0.408,4173,1974,2199,4757909.7571,4673849.2313,224.4,-0.0254,0.9187,4,14981,0,8123.4382,23055.5734,-14932.1352,8.123,23.056,-14.932,12.17
14,26.3,40,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,20,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,1848.0,110881,100000.0,96967.1836312458,-3.033,-10.461,7.428,41.506,0.404,8862,4257,4605,7311552.9905,7234646.6581,152.1,-0.0057,0.9324,4,14981,0,12698.4103,29405.7404,-16707.3302,12.698,29.406,-16.707,13.674
33,25.2,80,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,1848.0,110881,100000.0,93988.7360331868,-6.011,-10.461,4.45,41.556,0.126,2729,1321,1408,6069856.1114,6072680.6802,257.7,-0.0689,0.9376,4,12765,0,10022.6432,27955.1122,-17932.469,10.023,27.955,-17.932,11.921
9,26.4,30,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,20,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,1848.0,110881,100000.0,92415.75857101587,-7.584,-10.461,2.877,41.685,0.233,13328,6451,6877,8056837.2424,7979802.5861,123.4,0.0058,0.934,4,14981,0,14067.6862,29056.1094,-14988.4232,14.068,29.056,-14.988,7.404
28,25.5,70,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,1848.0,110881,100000.0,91585.21856698011,-8.415,-10.461,2.046,41.747,-0.016,3469,1687,1782,6535823.9096,6543236.0206,235.0,-0.0701,0.9317,4,12765,0,10833.5736,29051.5741,-18218.0005,10.834,29.052,-18.218,9.803
23,25.6,60,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,1848.0,110881,100000.0,90874.79274700116,-9.125,-10.461,1.336,42.01,-0.052,4451,2159,2292,7347157.3834,7364841.8699,203.2,-0.0639,0.9341,4,12765,0,12153.3038,30817.5946,-18664.2908,12.153,30.818,-18.664,9.539
4,26.2,20,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,20,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,1848.0,110881,100000.0,90618.93195707224,-9.381,-10.461,1.08,41.967,0.139,24074,11386,12688,9223122.2209,9148705.319,109.6,0.0393,0.9452,4,14981,0,16043.1637,33133.0039,-17089.8402,16.043,33.133,-17.09,7.709
18,25.5,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,1848.0,110881,100000.0,89639.07540406266,-10.361,-10.461,0.1,42.054,-0.122,5939,2890,3049,8177659.6238,8198271.6637,178.9,-0.0745,0.9359,4,12765,0,13544.2428,32909.3617,-19365.1189,13.544,32.909,-19.365,9.004
43,22.6,100,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,1848.0,110881,100000.0,86437.98315724991,-13.562,-10.461,-3.101,46.35,-0.248,1881,967,914,5083113.5993,5033640.5091,299.5,-0.0894,0.8984,4,12765,0,8332.7488,25568.8147,-17236.0659,8.333,25.569,-17.236,3.674
13,25.9,40,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,1848.0,110881,100000.0,82193.51646966522,-17.806,-10.461,-7.346,41.9,-0.539,8344,4197,4147,8981069.9791,8918927.8667,151.3,-0.0531,0.9403,4,12765,0,14841.9045,34410.973,-19569.0685,14.842,34.411,-19.569,1.763
3,26.3,20,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,1848.0,110881,100000.0,81061.24184676194,-18.939,-10.461,-8.478,46.724,-0.526,23220,11231,11989,12225057.8957,12253559.6019,102.2,-0.0425,0.9258,4,12765,0,19920.78,42010.1894,-22089.4094,19.921,42.01,-22.089,3.15
44,22.6,100,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,20,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,1848.0,110881,100000.0,73530.04972906996,-26.47,-10.461,-16.009,50.706,-1.158,1676,905,771,2898255.1438,2848734.6321,288.4,-0.2537,0.8798,4,14981,0,5192.3243,13338.7981,-8146.4737,5.192,13.339,-8.146,-18.324
29,25.6,70,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,20,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,1848.0,110881,100000.0,73005.99516009349,-26.994,-10.461,-16.533,50.56,-1.211,3129,1667,1462,3962537.4212,3913780.3923,215.9,-0.2721,0.8783,4,14981,0,7117.6956,16157.5271,-9039.8314,7.118,16.158,-9.04,-17.954
38,24.9,90,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,1848.0,110881,100000.0,72813.45565970697,-27.187,-10.461,-16.726,42.276,-1.094,1987,1077,910,4031099.0774,3982622.5548,319.4,-0.0382,0.9306,4,12765,0,6691.7008,22996.0281,-16304.3273,6.692,22.996,-16.304,-10.883
40,23.1,100,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,1848.0,110881,100000.0,67333.05507037471,-32.667,-10.461,-22.206,48.989,-1.284,2923,1499,1424,13351502.3701,13311010.1141,292.9,0.0046,1.0,101,530,0,23287.4483,74842.8986,-51555.4503,23.287,74.843,-51.555,18.888
30,25.5,80,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,1848.0,110881,100000.0,66109.96889724299,-33.89,-10.461,-23.429,47.579,-1.367,3893,1942,1951,17871583.3139,17832872.9433,237.2,0.0095,1.0,101,530,0,31180.0606,87080.2931,-55900.2324,31.18,87.08,-55.9,22.01
35,25.7,90,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,1848.0,110881,100000.0,61850.527187274405,-38.149,-10.461,-27.689,48.642,-1.674,3292,1650,1642,14504848.1614,14472343.2712,256.9,0.0077,1.0,101,530,0,25372.5908,73329.8481,-47957.2572,25.373,73.33,-47.957,9.808
25,25.8,70,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,1848.0,110881,100000.0,57380.731025809844,-42.619,-10.461,-32.158,52.102,-2.001,4590,2306,2284,18823550.6157,18797557.6662,213.2,0.0104,1.0,101,530,0,32910.025,85121.4363,-52211.4113,32.91,85.121,-52.211,9.592
8,26.2,30,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,1848.0,110881,100000.0,56731.51979760632,-43.268,-10.461,-32.808,55.18,-2.258,11319,6016,5303,9137160.6071,9112113.4782,111.2,-0.0743,0.9303,4,12765,0,14957.5855,31381.1118,-16423.5263,14.958,31.381,-16.424,-26.844
41,22.7,100,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,5,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,1848.0,110881,100000.0,56633.422239158695,-43.367,-10.461,-32.906,53.403,-2.214,2212,1077,1135,8649198.3096,8645449.1716,310.9,-0.0411,0.8898,52,1756,0,14275.2334,38327.3364,-24052.103,14.275,38.327,-24.052,-19.315
36,25.3,90,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,5,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,1848.0,110881,100000.0,56335.86407721235,-43.664,-10.461,-33.203,53.313,-2.22,2566,1248,1318,9983428.0649,9966455.1607,274.9,-0.0502,1.0,52,1756,0,16458.2898,41240.7068,-24782.417,16.458,41.241,-24.782,-18.882
20,25.5,60,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,1848.0,110881,100000.0,55572.688560295814,-44.427,-10.461,-33.966,52.919,-2.173,5578,2835,2743,22426109.9202,22402751.0653,188.9,0.0125,1.0,101,530,0,39217.2551,95541.0721,-56323.8171,39.217,95.541,-56.324,11.897
11,25.9,40,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,5,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,1848.0,110881,100000.0,52726.52451621041,-47.273,-10.461,-36.813,56.368,-2.525,8247,4077,4170,22204115.2753,22189971.2881,123.2,-0.0093,1.0,52,1756,0,36558.049,68324.8805,-31766.8314,36.558,68.325,-31.767,-15.506
15,26.2,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,1848.0,110881,100000.0,51759.36518325243,-48.241,-10.461,-37.78,56.361,-2.475,6994,3523,3471,26503452.6964,26485649.3825,151.3,0.0118,1.0,101,530,0,46584.9883,101767.2229,-55182.2345,46.585,101.767,-55.182,6.941
37,25.2,90,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,10,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,1848.0,110881,100000.0,51755.06789930867,-48.245,-10.461,-37.784,59.336,-2.539,2250,1140,1110,5455406.6028,5476570.1312,252.2,0.0167,0.8631,5,8912,0,9191.5141,29521.1329,-20329.6188,9.192,29.521,-20.33,-27.915
31,25.4,80,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,5,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,1848.0,110881,100000.0,51424.094600799304,-48.576,-10.461,-38.115,54.772,-2.609,3056,1533,1523,11108455.3245,11123915.2039,249.9,0.0201,1.0,52,1756,0,18464.5358,44100.0032,-25635.4673,18.465,44.1,-25.635,-22.941
32,25.2,80,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,10,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,1848.0,110881,100000.0,50764.5444200677,-49.235,-10.461,-38.775,60.305,-2.623,2652,1356,1296,6059518.7601,6077552.6756,231.3,0.0202,0.868,5,8912,0,10191.8387,31579.4805,-21387.6418,10.192,31.579,-21.388,-27.847
42,22.5,100,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,10,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,1848.0,110881,100000.0,50386.82038537149,-49.613,-10.461,-39.152,58.231,-2.669,1941,1029,912,4865866.3036,4850062.6179,285.1,0.0631,0.8672,5,8912,0,8234.926,28186.5889,-19951.663,8.235,28.187,-19.952,-29.661
26,25.4,70,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,5,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,1848.0,110881,100000.0,50329.28689932882,-49.671,-10.461,-39.21,55.298,-2.646,3476,1767,1709,12163819.2854,12176779.0793,215.6,0.0806,0.9516,52,1756,0,20290.5172,48249.1514,-27958.6343,20.291,48.249,-27.959,-21.712
21,25.7,60,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,5,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,1848.0,110881,100000.0,49507.77303340153,-50.492,-10.461,-40.031,56.429,-2.73,4423,2293,2130,14541049.0537,14551112.7311,182.5,0.0929,1.0,52,1756,0,24203.7427,52494.0312,-28290.2885,24.204,52.494,-28.29,-22.202
16,25.5,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,5,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,1848.0,110881,100000.0,49203.30012912574,-50.797,-10.461,-40.336,56.731,-2.762,5899,3028,2871,18065892.1792,18069707.9908,150.4,0.0723,0.9433,52,1756,0,29875.9056,60618.6551,-30742.7494,29.876,60.619,-30.743,-20.054
17,25.5,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,10,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,1848.0,110881,100000.0,48950.14432156075,-51.05,-10.461,-40.589,61.295,-2.804,5632,2884,2748,10010523.7622,10031396.5604,133.6,0.0205,0.912,5,8912,0,16671.5625,40842.6249,-24171.0624,16.672,40.843,-24.171,-26.879
12,26.2,40,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,10,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,1848.0,110881,100000.0,48902.30145445883,-51.098,-10.461,-40.637,61.75,-2.866,8202,4145,4057,12353942.7423,12375388.0813,107.7,0.0382,0.9341,5,8912,0,20460.134,46459.1324,-25998.9984,20.46,46.459,-25.999,-25.099
27,25.4,70,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,10,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,1848.0,110881,100000.0,47708.802361197275,-52.291,-10.461,-41.83,59.567,-2.925,3298,1677,1621,7176828.1803,7164926.036,197.4,0.0578,0.8779,5,8912,0,12039.2556,34687.6503,-22648.3947,12.039,34.688,-22.648,-29.643
10,25.9,40,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,1848.0,110881,100000.0,47414.39131663413,-52.586,-10.461,-42.125,60.369,-2.842,9236,4559,4677,31878200.8513,31866727.6275,118.0,0.0113,1.0,101,530,0,56114.0386,113200.4921,-57086.4535,56.114,113.2,-57.086,4.5
22,25.5,60,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,10,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,1848.0,110881,100000.0,46796.919535588946,-53.203,-10.461,-42.742,60.339,-3.005,4163,2135,2028,8298650.5059,8288076.8622,164.3,0.0605,0.8951,5,8912,0,13857.3118,37204.7132,-23347.4014,13.857,37.205,-23.347,-29.856
5,25.9,30,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,1848.0,110881,100000.0,40351.60251552156,-59.648,-10.461,-49.188,66.027,-3.678,13090,6480,6610,40174659.4996,40173475.8866,88.0,0.0111,1.0,101,530,0,70903.8152,127689.9282,-56786.113,70.904,127.69,-56.786,-2.862
6,25.6,30,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,5,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,1848.0,110881,100000.0,39627.920924294944,-60.372,-10.461,-49.911,63.947,-3.831,11219,5854,5365,24922956.9587,24924426.4418,91.0,0.0569,1.0,52,1756,0,41104.802,73231.5639,-32126.7619,41.105,73.232,-32.127,-28.245
2,26.2,20,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,10,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,1848.0,110881,100000.0,38900.707510273955,-61.099,-10.461,-50.638,68.067,-3.923,22576,11635,10941,17980725.4151,17981655.5768,64.5,-0.0411,0.9072,5,8912,0,30122.4264,57258.7759,-27136.3495,30.122,57.259,-27.136,-33.963
7,25.6,30,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,10,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,1848.0,110881,100000.0,36765.7994163094,-63.234,-10.461,-52.773,65.441,-4.213,11812,5884,5928,14089223.1844,14093263.6435,103.4,0.069,0.9199,5,8912,0,23483.2018,47587.634,-24104.4322,23.483,47.588,-24.104,-39.13
