_task_idx,_elapsed_sec,p_spread_bps,p_pool_price_weight,p_anchor_ema_alpha,p_num_levels,p_size_decay,p_spread_multiplier,p_order_safe_ratio,p_enable_asymmetric_spread,p_skew_sensitivity,p_min_spread_bps,p_concentration,p_min_concentration,p_max_concentration,p_natr_period,p_natr_baseline,p_natr_range_scale,p_adx_period,p_hurst_min_candles,p_hmm_n_states,p_hmm_min_candles,p_hmm_refit_interval_sec,p_hmm_window,p_hmm_confidence_threshold,p_trend_sensitivity,p_range_ema_alpha,p_range_update_dead_band_pct,p_soft_recenter_drift_pct,p_trend_order_scale_factor,p_trend_halt_threshold,duration_hours,candles,initial_value,final_value,total_return_pct,hold_return_pct,excess_return_pct,max_drawdown_pct,sharpe,total_fills,buy_fills,sell_fills,buy_volume,sell_volume,avg_spread_bps,avg_inv_skew,max_abs_inv_skew,recenters,range_changes,trend_halts
37,13.0,90,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,10,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,1848.0,110881,100000.0,77940.5961004768,-22.059,-10.461,-11.599,38.364,-1.35,2960,1371,1589,19647498.9566,19705102.6432,68.7,0.1149,0.6293,35,8912,0
41,12.1,100,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,5,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,1848.0,110881,100000.0,68970.87519355972,-31.029,-10.461,-20.568,48.195,-1.377,1859,905,954,27928284.7062,27885406.3484,90.9,0.0038,0.8399,240,1756,0
42,12.1,100,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,10,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,1848.0,110881,100000.0,66745.90562412747,-33.254,-10.461,-22.793,41.691,-2.247,2425,1115,1310,17590668.4146,17648272.1012,63.3,0.1276,0.6695,35,8912,0
31,13.0,80,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,5,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,1848.0,110881,100000.0,64472.99014407809,-35.527,-10.461,-25.066,50.932,-1.658,2745,1339,1406,33320255.8552,33283930.3605,83.1,0.0041,0.8892,240,1756,0
36,12.9,90,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,5,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,1848.0,110881,100000.0,62889.610453570866,-37.11,-10.461,-26.65,51.381,-1.822,2147,1038,1109,28993176.2135,28959157.5073,84.9,0.0038,0.9766,240,1756,0
26,13.0,70,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,5,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,1848.0,110881,100000.0,62704.332737955185,-37.296,-10.461,-26.835,53.104,-1.819,3540,1716,1824,37749566.5491,37715817.7698,77.1,0.0084,0.9684,240,1756,0
32,12.9,80,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,10,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,1848.0,110881,100000.0,61566.572361627754,-38.433,-10.461,-27.973,45.872,-2.743,3523,1639,1884,20791685.1601,20849288.8467,56.3,0.1124,0.6167,35,8912,0
21,12.8,60,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,5,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,1848.0,110881,100000.0,61013.98755081858,-38.986,-10.461,-28.525,53.137,-1.847,4605,2235,2370,42669391.0893,42638104.9339,67.6,0.0064,0.9779,240,1756,0
27,12.8,70,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,10,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,1848.0,110881,100000.0,57330.02237044217,-42.67,-10.461,-32.209,49.199,-3.186,4319,2012,2307,22319036.7359,22376640.4225,51.4,0.0965,0.5839,35,8912,0
16,12.7,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,5,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,1848.0,110881,100000.0,52454.42209650245,-47.546,-10.461,-37.085,57.697,-2.602,6005,2914,3091,46385664.9429,46366849.0169,59.9,0.009,0.9637,240,1756,0
22,12.6,60,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,10,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,1848.0,110881,100000.0,50998.56313856314,-49.001,-10.461,-38.541,53.853,-3.864,5376,2521,2855,24052489.3425,24110093.0291,44.9,0.0965,0.6147,35,8912,0
35,12.8,90,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,1848.0,110881,100000.0,49660.392252488,-50.34,-10.461,-39.879,57.362,-2.611,1454,719,735,29134693.0734,29119947.7033,68.8,0.0098,0.582,323,530,0
43,12.2,100,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,1848.0,110881,100000.0,46839.45411855162,-53.161,-10.461,-42.7,58.94,-3.947,4122,2022,2100,21307248.2966,21364851.9832,53.9,0.0323,0.5028,62,12765,0
40,12.2,100,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,1848.0,110881,100000.0,46363.12515202836,-53.637,-10.461,-43.176,59.986,-2.924,1169,576,593,25831727.1543,25821785.4951,64.9,0.0115,0.5791,323,530,0
11,12.3,40,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,5,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,1848.0,110881,100000.0,45378.44125516628,-54.622,-10.461,-44.161,62.694,-3.189,8429,4104,4325,52566853.134,52558346.0378,50.0,0.0094,0.9381,240,1756,0
38,13.0,90,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,1848.0,110881,100000.0,44405.6623986133,-55.594,-10.461,-45.134,60.795,-4.231,4891,2401,2490,22803198.3133,22860801.9999,50.2,0.0349,0.523,62,12765,0
33,12.9,80,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,1848.0,110881,100000.0,43357.048965905946,-56.643,-10.461,-46.182,61.608,-4.385,5938,2918,3020,24584282.3295,24641886.0161,48.8,0.0317,0.4821,62,12765,0
17,12.6,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,10,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,1848.0,110881,100000.0,43347.26640724662,-56.653,-10.461,-46.192,59.546,-4.848,6860,3237,3623,25613878.1291,25671481.8157,38.7,0.0952,0.6296,35,8912,0
44,12.3,100,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,20,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,1848.0,110881,100000.0,43188.92195115498,-56.811,-10.461,-46.35,62.353,-4.013,3667,1747,1920,13457621.275,13515224.9616,44.4,0.058,0.5253,84,14981,0
34,13.0,80,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,20,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,1848.0,110881,100000.0,43086.73452982002,-56.913,-10.461,-46.452,62.384,-4.042,4997,2414,2583,14766785.279,14824388.9656,43.8,0.0613,0.4971,84,14981,0
39,13.2,90,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,20,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,1848.0,110881,100000.0,42600.26198104557,-57.4,-10.461,-46.939,62.757,-4.087,4213,2021,2192,13960037.0437,14017640.7303,43.6,0.0601,0.5105,84,14981,0
30,12.8,80,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,1848.0,110881,100000.0,42341.30026676047,-57.659,-10.461,-47.198,62.741,-3.32,1673,824,849,30201880.2112,30197797.8543,56.3,0.009,0.9162,323,530,0
25,12.9,70,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,1848.0,110881,100000.0,41818.73536995829,-58.181,-10.461,-47.72,63.314,-3.392,2099,1028,1071,34905041.604,34901720.5596,54.0,0.013,0.8928,323,530,0
20,12.8,60,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,1848.0,110881,100000.0,40458.848035241776,-59.541,-10.461,-49.08,65.03,-3.535,2856,1392,1464,40828880.7423,40827540.8858,53.0,0.0121,0.8692,323,530,0
29,13.0,70,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,20,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,1848.0,110881,100000.0,40364.96417799877,-59.635,-10.461,-49.174,64.216,-4.397,6368,3069,3299,16526997.1401,16584600.8267,41.6,0.0511,0.4977,84,14981,0
28,12.9,70,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,1848.0,110881,100000.0,40355.05872993264,-59.645,-10.461,-49.184,64.204,-4.784,7215,3550,3665,26206415.3797,26264019.0663,48.1,0.0335,0.4582,62,12765,0
