_task_idx,_elapsed_sec,p_spread_bps,p_pool_price_weight,p_anchor_ema_alpha,p_num_levels,p_size_decay,p_spread_multiplier,p_order_safe_ratio,p_enable_asymmetric_spread,p_skew_sensitivity,p_min_spread_bps,p_concentration,p_min_concentration,p_max_concentration,p_natr_period,p_natr_baseline,p_natr_range_scale,p_adx_period,p_hurst_min_candles,p_hmm_n_states,p_hmm_min_candles,p_hmm_refit_interval_sec,p_hmm_window,p_hmm_confidence_threshold,p_trend_sensitivity,p_range_ema_alpha,p_range_update_dead_band_pct,p_soft_recenter_drift_pct,p_trend_order_scale_factor,p_trend_halt_threshold,duration_hours,candles,initial_value,final_value,total_return_pct,hold_return_pct,excess_return_pct,max_drawdown_pct,sharpe,total_fills,buy_fills,sell_fills,buy_volume,sell_volume,avg_spread_bps,avg_inv_skew,max_abs_inv_skew,recenters,range_changes,trend_halts,flair_lifetime_fee_quote,flair_lifetime_lvr_quote,flair_lifetime_net_quote,flair_fee_pct,flair_lvr_pct,flair_net_pct,return_minus_flair_net_pct
40,116.0,100,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,8736.0,523168,100000.0,1114672.3216634558,1014.672,331.044,683.629,54.483,3.121,15851,7121,8730,315539936.6125,315230031.8723,298.4,0.0046,1.0,461,3981,0,722714.8305,1796512.6153,-1073797.7848,722.715,1796.513,-1073.798,2088.47
35,141.3,90,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,8736.0,523168,100000.0,1013695.3472626457,913.695,331.044,582.652,55.394,3.005,18067,8228,9839,341504614.426,341203437.6391,267.6,0.0234,1.0,461,3981,0,768696.6241,1872468.5733,-1103771.9492,768.697,1872.469,-1103.772,2017.467
30,148.6,80,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,8736.0,523168,100000.0,1011786.4697201728,911.786,331.044,580.743,55.133,3.032,21538,9769,11769,386783769.305,386512477.1159,240.0,0.0193,1.0,461,3981,0,886385.0686,2112557.082,-1226172.0135,886.385,2112.557,-1226.172,2137.958
41,116.2,100,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,5,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,8736.0,523168,100000.0,985138.0624579448,885.138,331.044,554.095,53.648,2.904,12155,5600,6555,151324103.9807,150967824.5674,326.7,-0.0121,1.0,211,13810,0,345661.3817,847450.5192,-501789.1375,345.661,847.451,-501.789,1386.927
25,147.7,70,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,8736.0,523168,100000.0,870974.0085727555,770.974,331.044,439.931,52.825,2.864,26604,12213,14391,417562524.869,417720030.6387,211.1,0.0366,1.0,461,3981,0,967176.931,2314831.3211,-1347654.3901,967.177,2314.831,-1347.654,2118.628
36,141.8,90,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,5,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,8736.0,523168,100000.0,694813.5597474343,594.814,331.044,263.77,53.253,2.505,14030,6546,7484,159964986.1741,159733250.5374,287.8,0.0079,1.0,211,13810,0,361033.1898,853576.509,-492543.3192,361.033,853.577,-492.543,1087.357
33,141.8,80,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,8736.0,523168,100000.0,595538.7049773309,495.539,331.044,164.495,52.248,2.415,14494,6974,7520,60289645.2077,60335479.0727,279.9,-0.0435,0.983,4,65825,0,136249.9468,321452.7947,-185202.8479,136.25,321.453,-185.203,680.742
17,135.1,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,10,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,8736.0,523168,100000.0,531506.242994755,431.506,331.044,100.463,55.242,2.203,30936,14592,16344,122540630.7211,122664446.1227,177.6,-0.0705,0.9935,4,50728,0,264237.3698,569429.7432,-305192.3734,264.237,569.43,-305.192,736.698
32,142.2,80,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,10,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,8736.0,523168,100000.0,509548.00944815547,409.548,331.044,78.505,55.305,2.136,14171,6667,7504,82950068.6602,83175097.6567,269.0,0.0121,0.9937,4,50728,0,179100.0164,416636.6001,-237536.5837,179.1,416.637,-237.537,647.085
27,148.6,70,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,10,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,8736.0,523168,100000.0,507190.27081983956,407.19,331.044,76.147,54.558,2.139,18419,8798,9621,98403577.9025,98613016.6267,232.0,-0.0377,0.9911,4,50728,0,214354.3812,481987.0685,-267632.6873,214.354,481.987,-267.633,674.823
20,134.5,60,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,8736.0,523168,100000.0,494648.7481779102,394.649,331.044,63.605,54.135,2.19,32073,15031,17042,418646038.8052,418829918.0853,181.9,0.0419,1.0,461,3981,0,920580.8351,2136772.0152,-1216191.1801,920.581,2136.772,-1216.191,1610.84
22,136.0,60,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,10,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,8736.0,523168,100000.0,492253.9150380338,392.254,331.044,61.21,54.998,2.125,24053,11261,12792,112660668.4711,112891034.1356,202.9,-0.0393,0.9905,4,50728,0,243424.838,522734.3805,-279309.5425,243.425,522.734,-279.31,671.564
37,142.0,90,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,10,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,8736.0,523168,100000.0,483825.45181570563,383.825,331.044,52.782,55.167,2.081,12540,6070,6470,75310044.6375,75542230.6706,295.0,-0.0513,0.9909,4,50728,0,163663.7656,397334.721,-233670.9554,163.664,397.335,-233.671,617.496
26,147.7,70,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,5,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,8736.0,523168,100000.0,452882.2403113905,352.882,331.044,21.839,58.256,2.067,19897,9488,10409,184014377.9092,184005978.9647,226.4,-0.0078,1.0,211,13810,0,396829.3096,917508.4236,-520679.1141,396.829,917.508,-520.679,873.561
21,136.3,60,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,5,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,8736.0,523168,100000.0,450047.0872403658,350.047,331.044,19.004,53.426,2.065,24747,11900,12847,207136101.7292,207121446.4583,195.8,-0.0004,1.0,211,13810,0,464955.0257,1024446.9581,-559491.9324,464.955,1024.447,-559.492,909.539
31,151.0,80,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,5,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,8736.0,523168,100000.0,414479.00192277814,314.479,331.044,-16.565,57.931,1.969,16581,7781,8800,167166333.7906,167186340.2263,254.6,0.0088,1.0,211,13810,0,367301.5303,853213.9419,-485912.4116,367.302,853.214,-485.912,800.391
42,116.7,100,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,10,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,8736.0,523168,100000.0,400574.78062131035,300.575,331.044,-30.469,55.542,1.894,10130,4679,5451,69772460.9354,69758036.0664,326.8,0.0207,0.9784,4,50728,0,144638.7335,354391.4259,-209752.6924,144.639,354.391,-209.753,510.328
