_task_idx,_elapsed_sec,p_spread_bps,p_pool_price_weight,p_anchor_ema_alpha,p_num_levels,p_size_decay,p_spread_multiplier,p_order_safe_ratio,p_enable_asymmetric_spread,p_skew_sensitivity,p_min_spread_bps,p_concentration,p_min_concentration,p_max_concentration,p_natr_period,p_natr_baseline,p_natr_range_scale,p_adx_period,p_hurst_min_candles,p_hmm_n_states,p_hmm_min_candles,p_hmm_refit_interval_sec,p_hmm_window,p_hmm_confidence_threshold,p_trend_sensitivity,p_range_ema_alpha,p_range_update_dead_band_pct,p_soft_recenter_drift_pct,duration_hours,candles,initial_value,final_value,total_return_pct,hold_return_pct,excess_return_pct,max_drawdown_pct,sharpe,total_fills,buy_fills,sell_fills,buy_volume,sell_volume,avg_spread_bps,avg_inv_skew,max_abs_inv_skew,recenters,range_changes
40,211.7,100,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,8736.0,523168,100000.0,468354.1617897058,368.354,331.044,37.311,63.733,2.143,12350,6012,6338,645587766.6428,645713581.7837,118.8,-0.0027,1.0,1534,3981
41,211.4,100,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,5,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,8736.0,523168,100000.0,445331.91956969275,345.332,331.044,14.288,59.328,2.077,14906,7254,7652,480076346.3986,480199903.9237,113.1,-0.0138,1.0,958,13810
35,252.2,90,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,8736.0,523168,100000.0,401208.8464880037,301.209,331.044,-29.835,65.384,1.967,14105,6883,7222,664435567.5645,664591347.0985,108.2,-0.0039,1.0,1534,3981
42,210.8,100,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,10,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,8736.0,523168,100000.0,391610.40557099495,291.61,331.044,-39.433,38.681,2.455,17588,8200,9388,288892389.1817,289137855.7105,83.3,0.0779,0.912,144,50728
36,252.4,90,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,5,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,8736.0,523168,100000.0,366304.6439100306,266.305,331.044,-64.739,61.408,1.862,17274,8452,8822,499737787.156,499901679.1532,105.0,-0.0137,1.0,958,13810
44,208.0,100,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,20,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,8736.0,523168,100000.0,341973.77092007047,241.974,331.044,-89.07,44.53,2.109,20084,9722,10362,158006232.9991,158124110.8332,91.6,0.0577,0.6408,458,71673
30,240.1,80,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,8736.0,523168,100000.0,307853.85855417326,207.854,331.044,-123.19,64.052,1.673,15694,7642,8052,661246775.7032,661527206.3004,92.0,-0.0054,1.0,1534,3981
39,253.4,90,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,20,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,8736.0,523168,100000.0,295553.22209793894,195.553,331.044,-135.49,45.305,1.924,23882,11508,12374,167322211.571,167485252.1292,83.6,0.0557,0.6423,458,71673
31,242.1,80,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,5,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,8736.0,523168,100000.0,264746.6529300631,164.747,331.044,-166.297,64.47,1.509,19847,9698,10149,512431889.5049,512653463.2234,93.4,-0.0134,1.0,958,13810
34,252.0,80,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,20,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,8736.0,523168,100000.0,229216.30886712697,129.216,331.044,-201.827,48.634,1.566,28083,13561,14522,176115752.9878,176311117.9552,76.6,0.0524,0.6089,458,71673
43,208.6,100,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,8736.0,523168,100000.0,220533.88000608762,120.534,331.044,-210.51,49.451,1.559,19872,9543,10329,215020585.5067,215248831.5556,84.8,0.0341,0.7734,305,65825
25,237.8,70,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,8736.0,523168,100000.0,199865.3712132937,99.865,331.044,-231.178,70.383,1.217,17968,8738,9230,663585761.9497,663867182.5609,79.9,-0.0037,1.0,1534,3981
29,242.2,70,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,20,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,8736.0,523168,100000.0,199292.6985935609,99.293,331.044,-231.751,48.551,1.372,33104,16050,17054,182632802.8456,182854734.8377,70.4,0.0513,0.5987,458,71673
38,253.8,90,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,8736.0,523168,100000.0,195069.2821719444,95.069,331.044,-235.974,52.402,1.365,23821,11492,12329,230924052.1234,231180258.114,77.8,0.0344,0.8007,305,65825
37,254.0,90,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,10,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,8736.0,523168,100000.0,193419.6067724676,93.42,331.044,-237.624,58.408,1.349,22765,10721,12044,331744870.4024,331996273.6701,74.8,0.0389,0.7917,144,50728
26,240.6,70,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,5,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,8736.0,523168,100000.0,168184.48016351528,68.184,331.044,-262.859,68.638,1.039,22770,11130,11640,515734118.7565,515974657.9367,80.0,-0.0129,1.0,958,13810
24,241.0,60,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,20,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,8736.0,523168,100000.0,142769.82799627908,42.77,331.044,-288.274,50.731,0.888,39703,19144,20559,187214870.2211,187474223.8218,63.3,0.0511,0.5885,458,71673
32,250.5,80,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,10,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,8736.0,523168,100000.0,142157.89061078502,42.158,331.044,-288.886,58.124,0.872,26106,12318,13788,337656105.3191,337912399.1306,64.8,0.0356,0.7314,144,50728
33,253.5,80,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,8736.0,523168,100000.0,122011.82369273528,22.012,331.044,-309.032,63.799,0.652,29967,14419,15548,253458308.7338,253719215.1463,67.5,0.0204,0.7116,305,65825
19,259.0,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,20,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,8736.0,523168,100000.0,113665.46165253333,13.665,331.044,-317.378,52.471,0.544,42218,20294,21924,170129950.2374,170411370.8486,58.4,0.0588,0.5783,458,71673
20,252.8,60,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,8736.0,523168,100000.0,102507.00228125637,2.507,331.044,-328.537,78.041,0.538,20417,9944,10473,649945176.2191,650226596.8303,65.2,-0.0046,1.0,1534,3981
21,254.9,60,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,5,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,8736.0,523168,100000.0,80508.45151807522,-19.492,331.044,-350.535,78.757,0.309,24375,11890,12485,479790063.264,480046444.0694,65.1,-0.0144,0.9715,958,13810
